,question_de,answer_de,max_points,keywords,student_answer,human_score,human_feedback,rueckfrage,error_type
10,Welche gängigen Ensemble-Methoden werden in der EDA verwendet?,"Gängige Ensemble-Methoden, die in der EDA verwendet werden, umfassen Bagging (Bootstrap Aggregating), Boosting (z. B. AdaBoost, Gradient Boosting) und Stacking (Meta-Lernen). Sie kombinieren Vorhersagen aus mehreren Basismodellen, um genauere und zuverlässigere Vorhersagen zu treffen.",3,Bagging; Bootstrap Aggregating; Boosting; AdaBoost; Gradient Boosting; Stacking; Meta-Lernen,"Gängige Methoden sind zum Beispiel Bagging, Boosting und Stacking.",3,1) Die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist kurz und knapp dargestellt und somit gut nachvollziehbar und verständlich.,0,0
11,Welche gängigen Metriken werden für die Modellbewertung in der EDA verwendet?,"Gängige Metriken zur Modellbewertung in der EDA sind Genauigkeit, Präzision, Recall, F1-Score, ROC-AUC-Score, Mean Squared Error (MSE) und R-quadrat (R2) Score. Sie bieten Einblicke in verschiedene Aspekte der Leistung des Modells.","3,5",Genauigkeit; Präzision; Recall; F1-Score; ROC-AUC-Score; Mean Squared Error (MSE); R-quadrat (R2) Score,"Hier können Genauigkeit, Präzision, Recall, F1-Score, ROC-AUC-Score, MSE und R-quadrat score genutzt werden.","3,5","1) Die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt, zu MSE fehlte allerdings der Longtitle, welcher noch nachgefragt werden könnte 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist kurz und knapp dargestellt und dennoch nachvollziehbar und verständlich formuliert.",1,3
12,Was ist der Zweck des Hyperparameter-Tunings bei der Modellbewertung im EDA?,"Das Hyperparameter-Tuning bei der Modellbewertung beinhaltet die Optimierung der Hyperparameter von Machine-Learning-Algorithmen, um die Leistung und Generalisierbarkeit eines Modells zu verbessern. Es hilft dabei, die beste Kombination von Hyperparametern für ein gegebenes Datenset und Problem zu finden.",5,Hyperparameter-Tuning; Optimierung; Hyperparameter; Leistung; Generalisierbarkeit,"Das Hyperparameter-Tuning hilft dabei, die beste Kombination von Hyperparametern für ein gegebenes Datenset und Problem zu finden. Hierfür gibt es viele Möglichkeiten zur Verbesserung, welche ich noch weiter ausführen könnte. Allerdings erscheint mir eine noch umfassendere Antwort nicht notwendig.",3,1) Die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt und im richtigen Kontext verwendet 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.,2,2
13,Was ist der Zweck des Modell-Deployments im EDA?,"Das Modell-Deployment im EDA beinhaltet das Bereitstellen von prädiktiven Modellen in Produktionsumgebungen, um Echtzeitvorhersagen auf neue Daten zu treffen. Es ermöglicht Organisationen, die aus der Datenanalyse gewonnenen Erkenntnisse und Vorhersagen für Entscheidungsfindung und geschäftliche Anwendungen zu nutzen.",4,Modell-Deployment; EDA; Produktionsumgebungen; Echtzeitvorhersagen; Entscheidungsfindung,"Das Modell beinhaltet das Bereitstellen von prädiktiven Modellen in Produktionsumgebungen, um Echtzeitvorhersagen auf neue Daten zu treffen. Dabei ermöglicht es futuristische Vorhersagen, die Unternehmen zu neuen Geschäftsideen und Innovationen führen sollen.",2,"1) Die Antwort wurde in Teilen fachlich korrekt dargestellt, enthielt aber auch falsche Darstellungen 2) relevante Schlüsselbegriffe wurden genannt und im richtigen Kontext verwendet 3) Die Fragestellung wurde in Teilen richtig beantwortet 4) Es wurden teils falsche Rückschlüsse gezogen 5) Der Beginn der Antwort ist logisch aufgebaut, allerdings schlossen sich danach Fehlinterpretationen an, deren Rückschluss nicht nachvollzogen werden konnte.",3,0
14,Welche Arten der Regularisierung werden häufig in maschinellem Lernen verwendet?,"Häufig verwendete Arten der Regularisierung im maschinellen Lernen sind die L1-Regularisierung (Lasso), die L2-Regularisierung (Ridge) und die Elastic-Net-Regularisierung, welche eine Kombination aus L1- und L2-Strafen darstellt.",3,Regularisierung; L1-Regularisierung; L2-Regularisierung; Elastic Net Regularisierung,"Es werden häufig Regularisierungen verwendet, die die Größe des Modells begrenzen, indem eine Strafe für die Gewichte zu den Fehlerfunktionen hinzugefügt wird. Hier können entweder die Summe der absoluten Werte der Gewichte oder aber die Summe der quadrierten Werte der Gewichte verwendet werden. Diese beiden Arten können als dritte Art auch noch kombiniert werden.",2,"1) Die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden nicht genannt sondern lediglich umschrieben. Die Umschreibungen waren korrekt. 3) Die Fragestellung wurde ohne Nennung von Fachbegriffen beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist logisch aufgebaut, durch die Umschreibung aber länger als nötig, was die Nachvollziehbarkeit erschwert. Die Umschreibungen waren nicht zwingend nötig, wurden dafür aber verständlich formuliert.",2,1
15,Was ist der Bias-Variance-Kompromiss im maschinellen Lernen?,Der Bias-Variance-Kompromiss bezieht sich auf das Gleichgewicht zwischen Bias (Fehler durch zu vereinfachende Annahmen) und Varianz (Fehler durch Empfindlichkeit gegenüber Schwankungen in den Trainingsdaten) bei maschinellen Lernmodellen. Die Reduzierung des Bias erhöht typischerweise die Varianz und umgekehrt.,6,Bias-Variance-Kompromiss; Bias; Varianz; Fehler; Gleichgewicht,Die Reduzierung des Bias erhöht typischerweise die Varianz und umgekehrt.,"2,5","1) Die Antwort wurde fachlich korrekt dargestellt, enthielt aber nur einen Teilaspekt der gesamten Antwort 2) Es wurden nicht alle relevante Schlüsselbegriffe genannt. Es fehlte das Gleichgewicht sowie die Empfindlichkeit gegenüber Schwankungen 3) Die Fragestellung wurde nur in Teilen beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.",2,2
16,Was ist der Zweck von Kreuzvalidierung in der Modellbewertung?,"Kreuzvalidierung bei der Modellbewertung wird verwendet, um die Leistung vorhersagender Modelle zu beurteilen, indem das Datenmaterial in mehrere Teilmengen (Folds) für Training und Test aufgeteilt wird. Sie hilft dabei, den Generalisierungsfehler des Modells abzuschätzen und Überanpassung zu erkennen.",6,Kreuzvalidierung; Leistungsbewertung; Partitionierung; Teilmengen; Training; Test; Generalisierungsfehler; Überanpassung,"Kreuzvalidierung wird verwendet, um die Leistung von vorhersagenden Modellen zu verringern. Dabei spielt Partitionierung von Teilmengen für Training und Tests eine Rolle. Generalisierungsfehler und Überanpassung können dennoch auftreten.",2,"1) Die Antwort enthielt neben korrekten auch falsche fachliche Darstellungen 2) relevante Schlüsselbegriffe wurden genannt allerdings nicht immer im richtigen Kontext 3) Die Fragestellung wurde in Teilen beantwortet 4) Es wurden Konzepte falsch dargestellt 5) Die Antwort ist generell logisch aufgebaut, durch Sinnentstellende Fehler aber nicht in Gänze nachvollziehbar.",3,2
17,Was ist der Zweck des Hyperparameter-Tunings in Machine Learning?,"Das Hyperparameter-Tuning in Machine Learning beinhaltet die Optimierung der Hyperparameter von Modellen, um deren Leistung und Generalisierbarkeit zu verbessern. Es hilft dabei, die beste Kombination von Hyperparametern für ein gegebenes Datenset und Problem zu finden.",4,Hyperparameter-Tuning; Optimierung; Hyperparameter; Leistung; Generalisierbarkeit,"Der Zweck meiner Antwort besteht darin zu testen, ob trotz ähnlicher Textlänge im Vergleich zur optimalen Lösung erkannt wird, dass hier keinerlei brauchbare Information enthalten ist, die dabei helfen könnte, Punkte zu generieren. Das sollte kein Problem darstellen.",0,"1) Es wurde keine Antwort auf die Frage gegeben, sondern Fülltext 2) relevante Schlüsselbegriffe fehlen 3) Die Fragestellung wurde nicht beantwortet 4) Es wurden keine Konzepte dargestellt 5) Die Antwort liefert keine bewertbaren Inhalte.",3,1
18,Was ist der Unterschied zwischen überwachtem und unüberwachtem Lernen im maschinellen Lernen?,"Beim überwachten Lernen wird aus gelabelten Daten mit Eingabe-Ausgabe-Paaren gelernt, wobei das Modell die Ausgangsvariable auf der Grundlage von Eingabemerkmale vorhersagt. Beim unüberwachten Lernen wird aus nicht gelabelten Daten gelernt, um verborgene Muster oder Strukturen in den Daten zu entdecken.",6,überwachtes Lernen; unüberwachtes Lernen; gelabelte Daten; Eingabe-Ausgabe-Paare; nicht gelabelte Daten; verborgene Muster,"Bei supervised learning wird aus gelabelten Daten mit Eingabe-Ausgabe-Paaren gelernt, um Vorhersagen zu tätigen und bei unsupervised learning wird aus nicht gelabelten Daten gelernt, um Muster in den Daten zu finden.",6,1) Die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt und im richtigen Kontext verwendet 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.,0,2
19,Welche gängigen Techniken gibt es für das Deployment von Modellen im Machine Learning?,"Gängige Techniken zum Deployment von ML-Modellen umfassen die Bereitstellung als Webdienste oder APIs, das Einbetten der Modelle in Anwendungen oder Dashboards und die Integration der Modelle in bestehende Geschäftsprozesse oder Workflows. Sie ermöglichen eine nahtlose Integration vorhersagebasierter Modelle in operative Systeme und Abläufe.",3,Webdienste; APIs; Einbetten von Modellen; Anwendungen; Dashboards; Geschäftsprozesse; Workflows,"Gängige Techniken zum Deployment von ML-Modellen umfassen die Bereitstellung als Webdienste oder APIs, das Einbetten von Bildern in Anwendungen oder Dashboards und die Integration der Modelle in bestehende Geschäftsprozesse oder Workflows. Sie ermöglichen eine nahtlose Integration vorhersagebasierter Modelle in operative Systeme und Abläufe.","2,5","1) Die Antwort wurde fachlich korrekt dargestellt, allerdings haben sich Fehler in einer Teilantwort eingeschlichen 2) relevante Schlüsselbegriffe wurden genannt und im richtigen Kontext verwendet 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist logisch aufgebaut. Die Nachvollziehbarkeit wurde reduziert, weil der Begriff Bilder nicht in den Zusammenhang passt, ansonsten wurde die Antwort verständlich formuliert.",3,2
20,Was ist der Zweck des Transferlernens im maschinellen Lernen?,"Das Transferlernen im maschinellen Lernen ist eine Technik, bei der ein Modell, das für eine Aufgabe trainiert wurde, als Ausgangspunkt für ein Modell einer verwandten Aufgabe wiederverwendet wird. Es ermöglicht die Übertragung von Wissen und Merkmalen, die in einem Bereich gelernt wurden, auf einen anderen, was den Bedarf an großen gelabelten Datensätzen reduziert.",4,Transferlernen; verwandte Aufgabe; Übertragung von Wissen; Merkmale; reduzierter Bedarf,"Das Transferlernen im maschinellen Lernen ist eine Technik, bei der ein Modell, das für eine Aufgabe trainiert wurde, als Ausgangspunkt für ein Modell einer verwandten Aufgabe wiederverwendet wird. Es ermöglicht die Übertragung von Wissen und Merkmalen, die in einem Bereich gelernt wurden, auf einen anderen, was den Bedarf an großen gelabelten Datensätzen reduziert.",4,1) Die Antwort wurde fachlich korrekt dargestellt 2) relevante Schlüsselbegriffe wurden genannt und im richtigen Kontext verwendet 3) Die Fragestellung wurde beantwortet 4) Es wurden keine Konzepte vermischt 5) Die Antwort ist logisch aufgebaut sowie nachvollziehbar und verständlich formuliert.,0,1
21,Erkläre das Bias-Variance-Trade-off.,"Das Bias-Variance-Trade-off ist der Kompromiss zwischen dem Fehler, der durch Bias (Unteranpassung) und den Fehler, der durch Varianz (Überanpassung) eingeführt wird, wenn ein maschinelles Lernmodell erstellt wird.",6,Bias-Variance-Trade-off; Bias; Variance; Unteranpassung; Überanpassung; Maschinelles Lernen,"Dieser Trade-off ist der Kompromiss zwischen den Fehlern beim Erstellen eines maschinellen Modells, welche durch Bias, also die Überanpassung und durch Varianz eingeführt wird.","4,5","Die Antwort stellt den grundlegenden Sachverhalt im Großen und Ganzen korrekt dar und lässt erkennen, dass der Student das Prinzip des Bias-Variance-Trade-offs verstanden hat. Allerdings kommt es zu einer Verwechslung zwischen Über- und Unteranpassung, und der Schlüsselbegriff „Unteranpassung“ wird nicht korrekt verwendet, während „Überanpassung“ fehlerhaft eingesetzt wird. Inhaltlich werden zwar alle wesentlichen Aspekte der Frage angesprochen, jedoch sind die Konzepte nicht durchgängig sauber voneinander getrennt. Die Argumentation ist insgesamt nachvollziehbar und verständlich formuliert. Eine gezielte Rückfrage zur Bedeutung von Bias und Varianz im Kontext wäre sinnvoll, um mögliche Verständnislücken zu klären.",2,2
22,Wie gehst du mit fehlenden Daten in einem Datensatz um?,"Fehlende Daten können durch Imputationsverfahren wie die Imputation mit dem Mittelwert, Median oder Modus behandelt werden, indem prädiktive Modelle zur Schätzung der fehlenden Werte verwendet werden oder indem Zeilen oder Spalten mit fehlenden Werten gelöscht werden, abhängig von der Größe und Art des Datensatzes.",6,Imputation; Mittelwert; Median; Modus; prädiktive Modelle; Löschen von Zeilen oder Spalten,"So dies möglich erscheint, werden mit der Hilfe mathematischer Verfahren der Statistik fehlende Werte ergänzt. Hier kommen zum Beispiel Mittelwert, Median oder Modus in Frage. Dabei können Vorhersagemodelle unterstützen. Ist dies nicht sinnvoll möglich, können Werte durch NaN ersetzt werden, sodass diese in Berechnungen keine Berücksichtigung finden. Je nach Größe und Beschaffenheit des Datensatzes kann auch die Löschung ganzer Zeilen oder Spalten eine Option darstellen.",6,"Die Antwort ist fachlich korrekt und behandelt den Umgang mit fehlenden Daten vollständig und ohne Fehler. Alle relevanten Schlüsselbegriffe werden verwendet und im richtigen Kontext eingesetzt. Sämtliche wesentlichen Aspekte der Fragestellung werden abgedeckt, ohne dass zentrale Punkte fehlen. Die genannten Konzepte sind klar voneinander abgegrenzt und die Darstellung ist logisch sowie gut nachvollziehbar. Eine Rückfrage durch den Prüfer ist nicht erforderlich.",0,2
23,Was ist der Unterschied zwischen Klassifikation und Regression?,"Die Klassifikation ist eine überwachte Lernaufgabe, bei der das Ziel darin besteht, kategoriale Labels oder Klassen vorherzusagen, während die Regression ebenfalls eine überwachte Lernaufgabe ist, bei der das Ziel darin besteht, kontinuierliche numerische Werte vorherzusagen.",4,Klassifikation; Überwachtes Lernen; kategoriale Labels oder Klassen; Regression; kontinuierliche numerische Werte,"Beides sind überwachte Lernaufgaben, wobei Ersteres dazu dient Labels oder Klassen vorherzusagen und Letzteres zielt auf die Vorhersage von kontinuierlichen numerischen Werten ab.",4,"Der Student stellt den Sachverhalt fachlich korrekt dar und macht keine inhaltlichen Fehler. Obwohl die relevanten Schlüsselbegriffe nicht explizit genannt werden, werden alle Teile der Fragestellung vollständig beantwortet. Klassifikation und Regression sind klar voneinander abgegrenzt und werden nicht miteinander vermischt. Die Antwort ist insgesamt nachvollziehbar, auch wenn der Prüfer sich die Reihenfolge der genannten Konzepte merken muss. Eine Rückfrage ist nicht erforderlich.",0,0
24,Was ist Regularisierung in neuronalen Netzwerken?,"Regularisierung in neuronalen Netzwerken beinhaltet das Hinzufügen von Straftermen zur Verlustfunktion, um Overfitting zu verhindern.",6,Regularisierung; neuronale Netzwerke; Verlustfunktion; Overfitting,"Regularisierung in neuronalen Netzwerken beinhaltet das Hinzufügen von Straf-Termen zur Verlustfunktion, um Overfitting zu verhindern.",6,"Die Antwort ist fachlich korrekt und stellt den Begriff der Regularisierung in neuronalen Netzwerken ohne Fehler dar. Alle relevanten Schlüsselbegriffe werden genannt und im richtigen Kontext verwendet. Sämtliche wesentlichen Aspekte der Fragestellung werden abgedeckt, ohne dass zentrale Punkte fehlen. Die Konzepte sind klar voneinander unterschieden und die Darstellung ist für den Prüfer gut nachvollziehbar. Eine Rückfrage ist nicht erforderlich.",0,3
25,Was ist Deep Learning?,"Deep Learning ist ein Untergebiet des Machine Learnings, das sich auf künstliche neuronale Netze mit mehreren Schichten konzentriert.",5,Untergebiet; Machine Learning; künstliche neuronale Netze; mehrere Schichten,"Machine Learning ist ein Untergebiet von Deep Learning, welches sich grundsätzlich mit Maschinellem Lernen befasst.",1,"Die Antwort enthält einen inhaltlichen Fehler, da Deep Learning fälschlich als übergeordnetes Konzept von Machine Learning dargestellt wird. Zwar werden die relevanten Schlüsselbegriffe genannt, jedoch nicht im korrekten Kontext verwendet. Alle geforderten Aspekte werden angesprochen, allerdings in vertauschter Form, wodurch die inhaltliche Abgrenzung der Konzepte nicht korrekt ist. Für den Prüfer ist erkennbar, dass eine Verwechslung vorliegt und was der Student vermutlich ausdrücken wollte. Eine Rückfrage zu den Spezifikationen von Machine Learning oder zu den Unterzweigen des Deep Learnings wäre sinnvoll.",3,0
