	id	question_de	answer_de	max_points	keywords	question_type	question_en	answer_en	translation_similarity_question	translation_similarity_answer	len_answer_en	len_answer_de	len_answer_ratio	len_question_en	len_question_de	len_question_ratio	answer_length	points_z	to_review	student_answer	human_score	human_feedback_bullets	human_feedback	rueckfrage	transkript_stt_model	error_type
126	126	Was ist der Zweck von statistischen Zusammenfassungen im EDA?	Statistische Zusammenfassungen im EDA bieten deskriptive Statistiken wie Mittelwert, Median, Modus, Varianz und Perzentile zur Beschreibung des zentralen Tendenzmaßes, der Streuung und der Form der Datenverteilung.	5	"deskriptive Statistiken; Mittelwert; Median; Modus; Varianz; Perzentile; Zentrale Tendenz; Streuung; Datenverteilung"	Hauptfrage	What is the purpose of statistical summaries in EDA?	Statistical summaries in EDA provide descriptive statistics such as mean, median, mode, variance, and percentiles to summarize the central tendency, dispersion, and shape of the data distribution.	9.060.095	90.894.157	196	214	10.918.367.346.938.700	52	61	11.730.769.230.769.200	196	-7.421.871.144.130.820	FALSE	Statistische Zusammenfassungen in der EDA liefern deskriptive Kennzahlen wie Mittelwert, Median, Modus, Varianz und Perzentile, um zentrale Tendenz, Streuung und die Form der Datenverteilung zu beschreiben.	5	"1) Die Antwort ist fachlich korrekt; es liegen keine Fehler oder falschen Zusammenhänge vor. 
2) Zentrale Begriffe wie EDA, deskriptive Statistiken, Mittelwert, Median, Modus, Varianz, Perzentile, zentrale Tendenz, Streuung, Verteilungsform werden korrekt und im richtigen Kontext verwendet. 
3) Alle wesentlichen Aspekte der Frage werden behandelt: deskriptive Kennzahlen, zentrale Tendenz, Streuung und Form der Datenverteilung. 
4) Es werden keine anderen Konzepte vermischt; der Fokus liegt klar auf statistischen Zusammenfassungen.
5) Die Antwort ist logisch aufgebaut, klar formuliert und für den Prüfer gut nachvollziehbar."	Die Antwort erklärt statistische Zusammenfassungen in der EDA fachlich korrekt, verwendet alle relevanten Begriffe präzise, deckt zentrale Tendenz, Streuung und Verteilungsform ab und ist logisch sowie verständlich. Volle Punkte.	0	Statistische Zusammenfassungen in der Idea liefern deskriptive Kennzahlen wie Mittelwert, Median Modus, Varianz und Perzentile um zentrale Tendenz, Streuung und die Form der Datenverteilung zu beschreiben.	0
127	127	Was ist der Unterschied zwischen Maßen für die zentrale Tendenz und Streuungsmaßen in der EDA?	Maße der zentralen Tendenz (z. B. Mittelwert, Median, Modus) beschreiben den mittleren oder typischen Wert eines Datensatzes, während Streuungsmaße (z. B. Varianz, Standardabweichung) die Streuung oder Variabilität der Daten um diesen zentralen Wert quantifizieren.	4	"zentrale Tendenz; Mittelwert; Median; Modus; Streuungsmaße; Varianz; Standardabweichung"	Hauptfrage	What is the difference between central tendency and dispersion measures in EDA?	Central tendency measures (e.g., mean, median, mode) describe the central or typical value of a dataset, while dispersion measures (e.g., variance, standard deviation) quantify the spread or variability of the data around the central value.	76.974.905	8.360.846	240	265	11.041.666.666.666.600	79	94	11.898.734.177.215.100	240	-11.344.860.177.457.000	FALSE	Maße der zentralen Tendenz, wie Mittelwert, Median oder Modus, geben den typischen oder mittleren Wert eines Datensatzes an, während Streuungsmaße, etwa Varianz oder Standardabweichung, die Variabilität der Daten um diesen zentralen Wert quantifizieren.	4	"1)  Die Antwort ist fachlich korrekt; es liegen keine Fehler oder falschen Zusammenhänge vor.
2) Zentrale Begriffe wie Maße der zentralen Tendenz, Mittelwert, Median, Modus, Streuungsmaße, Varianz, Standardabweichung, Variabilität werden korrekt und im richtigen Kontext verwendet.
3) Alle wesentlichen Aspekte werden behandelt: typische/mittlere Werte, Variabilität der Daten, Beispiele für beide Arten von Maßen. 
4) Zentrale Tendenz und Streuung werden klar voneinander unterschieden und nicht vermischt.
5) Die Antwort ist logisch aufgebaut, klar formuliert und für den Prüfer gut nachvollziehbar."	Die Antwort erklärt Maße der zentralen Tendenz und Streuungsmaße fachlich korrekt, nennt passende Beispiele, unterscheidet die Konzepte klar und ist logisch sowie verständlich. Volle Punkte.	0	Maße der zentralen Tendenz wie Mittelwert, Median oder Modus. Geben den typischen oder mittleren Wert eines Datensatzes an, während Streuungsmaße etwa Varianz oder Standardabweichung, die Variabilität der Daten um diesen zentralen Wert quantifizieren.	0
130	130	Was ist der Zweck einer Korrelationsanalyse in der EDA?	Korrelationsanalysen in der EDA messen die Stärke und Richtung der linearen Beziehung zwischen zwei stetigen Variablen. Sie helfen dabei, Muster und Assoziationen im Datenmaterial zu identifizieren.	5	"Korrelationsanalyse; EDA; Stärke; Richtung; lineare Beziehung; stetige Variablen; Muster; Assoziationen"	Hauptfrage	What is the purpose of correlation analysis in EDA?	Correlation analysis in EDA measures the strength and direction of the linear relationship between two continuous variables. It helps to identify patterns and associations in the data.	9.489.327	94.668.704	184	198	1.076.086.956.521.730	51	55	10.784.313.725.490.100	184	-7.421.871.144.130.820	FALSE	Korrelationsanalysen in der EDA bestimmen die Stärke und Richtung der linearen Beziehung zwischen zwei kontinuierlichen Variablen und unterstützen dabei, Muster und Zusammenhänge in den Daten zu erkennen.	5	"1) Die Antwort ist fachlich korrekt; es liegen keine Fehler oder falschen Zusammenhänge vor.
2) Zentrale Begriffe wie Korrelationsanalyse, EDA, lineare Beziehung, kontinuierliche Variablen, Muster, Zusammenhänge werden korrekt und im richtigen Kontext verwendet.
3) Alle wesentlichen Aspekte werden behandelt: Stärke und Richtung der linearen Beziehung, Bezug auf zwei Variablen, Identifikation von Mustern und Assoziationen.
4) Es werden keine anderen Konzepte vermischt; der Fokus liegt klar auf der Korrelationsanalyse.
5) Die Antwort ist logisch aufgebaut, klar formuliert und für den Prüfer gut nachvollziehbar."	Die Antwort beschreibt Korrelationsanalysen in der EDA fachlich korrekt, verwendet alle relevanten Begriffe präzise, deckt Stärke und Richtung der Beziehung sowie Muster und Zusammenhänge ab und ist logisch sowie gut verständlich. Volle Punkte.	0	Korrelationsanalysen in der E da bestimmen die Stärke und Richtung der linearen Beziehung zwischen 2 kontinuierlichen Variablen und unterstützen dabei Muster und Zusammenhänge in den Daten zu erkennen.	1
134	134	Was ist der Unterschied zwischen einfacher linearer Regression und mehrfacher linearer Regression?	Einfache lineare Regression modelliert die Beziehung zwischen einer unabhängigen Variablen und einer abhängigen Variablen, während multiple lineare Regression die Beziehung zwischen mehreren unabhängigen Variablen und einer abhängigen Variablen modelliert.	4	"einfache lineare Regression; multiple lineare Regression; unabhängige Variable(n); abhängige Variable"	Hauptfrage	What is the difference between simple linear regression and multiple linear regression?	Simple linear regression models the relationship between one independent variable and a dependent variable, while multiple linear regression models the relationship between multiple independent variables and a dependent variable.	9.622.271	94.477.403	229	256	11.179.039.301.310.000	87	98	11.264.367.816.091.900	229	-11.344.860.177.457.000	FALSE	Die einfache lineare Regression beschreibt die Beziehung zwischen einer unabhängigen und einer abhängigen Variablen, während die multiple lineare Regression die Abhängigkeit einer Variablen von mehreren unabhängigen Variablen modelliert.	4	"1) Die Antwort ist fachlich korrekt; es liegen keine Fehler oder falschen Zusammenhänge vor.
2) Zentrale Begriffe wie einfache lineare Regression, multiple lineare Regression, unabhängige Variablen, abhängige Variable, Beziehung, Modellierung werden korrekt und im richtigen Kontext verwendet.
3) Alle wesentlichen Aspekte werden behandelt: Unterschied zwischen einfacher und multipler Regression, Anzahl der unabhängigen Variablen, Bezug zur abhängigen Variablen. 
4) Einfache und multiple Regression werden klar unterschieden und nicht vermischt.
5) Die Antwort ist logisch aufgebaut, klar formuliert und für den Prüfer gut nachvollziehbar."	Die Antwort erklärt einfache und multiple lineare Regression fachlich korrekt, verwendet alle relevanten Begriffe präzise, unterscheidet die Konzepte klar und ist logisch sowie gut verständlich. Volle Punkte.	0	Die einfache lineare Regression beschreibt die Beziehung zwischen einer unabhängigen und einer abhängigen Variablen. Wä rend die multiple lineare Regression, die Abhängigkeit einer Variablen von mehreren unabhängigen Variablen modelliert.	0
135	135	Was ist der Zweck von logistischer Regression in der EDA?	Logistische Regression in der EDA wird verwendet, um die Beziehung zwischen einer oder mehreren unabhängigen Variablen (Prädiktoren) und einer binären abhängigen Variable (0 oder 1) zu modellieren. Sie wird häufig für Klassifikationsaufgaben eingesetzt.	5	"logistische Regression; EDA; unabhängige Variablen; binäre abhängige Variable; Klassifikation"	Hauptfrage	What is the purpose of logistic regression in EDA?	Logistic regression in EDA is used to model the relationship between one or more independent variables (predictors) and a binary outcome variable (0 or 1). It is commonly used for classification tasks.	83.985.925	92.384.756	201	253	12.587.064.676.616.900	50	57	1.14	201	-7.421.871.144.130.820	FALSE	Logistische Regression wird verwendet, um Mittelwerte und Varianzen von kontinuierlichen Variablen zu berechnen.	0	"1) Die Antwort ist fachlich falsch; logistische Regression modelliert keine Mittelwerte oder Varianzen, sondern die Wahrscheinlichkeit einer binären abhängigen Variable.
2) Relevante Schlüsselbegriffe wie binäre Variable, Klassifikation, Prädiktor werden nicht verwendet oder falsch eingesetzt.
3) Zentrale Aspekte der Fragestellung (Modellierung der Beziehung zwischen Prädiktoren und binärer abhängiger Variable, Klassifikationsaufgabe) bleiben vollständig unbeantwortet. 
4) Das Konzept wird mit deskriptiver Statistik (Mittelwert, Varianz) vermischt, obwohl es um eine Klassifikationsmethode geht. 
5) Die Antwort ist zwar verständlich formuliert, aber inhaltlich komplett falsch, daher nicht nachvollziehbar im fachlichen Sinne."	Die Antwort ist fachlich falsch: Logistische Regression modelliert keine Mittelwerte oder Varianzen, sondern die Wahrscheinlichkeit einer binären abhängigen Variable. Relevante Begriffe wie Prädiktoren oder Klassifikation werden nicht verwendet, daher 0 Punkte.	3	Logistische Regression wird verwendet, um Mittelwerte und Varianzen von kontinuierlichen Variablen zu berechnen.	0
138	138	Welche gängigen Techniken gibt es zur Erkennung von Ausreißern im Rahmen der EDA?	Gängige Techniken zur Erkennung von Ausreißern in der EDA umfassen grafische Methoden (z. B., Streudiagramme, Boxplots), statistische Methoden (z. B., z-Score, modifizierter z-Score) und proximitätsbasierte Methoden (z. B., nächste Nachbarn).	4	"grafische Methoden; Streudiagramme; Boxplots; statistische Methoden; z-Score; modifizierter z-Score; proximitätsbasierte Methoden; nächste Nachbarn"	Aufzählung	What are some common techniques for detecting outliers in EDA?	Common techniques for detecting outliers in EDA include graphical methods (e.g., scatter plots, box plots), statistical methods (e.g., z-score, modified z-score), and proximity-based methods (e.g., nearest neighbors).	70.872.176	8.406.325	217	242	11.152.073.732.718.800	62	81	13.064.516.129.032.200	217	-11.344.860.177.457.000	TRUE	Boxplots, EDA, Verteilung, zentrale Tendenz	2	"1) Bei der Aufzählung wurde die Hälfte aller relevanten Begriffe nicht genannt. 
2) Die Hälfte der Schlüsselbegriffe wurde richtig genannt, die andere fehlt.
3) Nur die nicht genannten Begriffe fehlen. Der Rest stimmt so, da es eine Aufzählung ist.
4) nicht anwendbar.
5) Für eine Aufzählung ja"	Es werden einige zentrale Begriffe zur Ausreißererkennung genannt (Boxplots, EDA, Verteilung, zentrale Tendenz), jedoch fehlen weitere wichtige Methoden wie z-Score oder proximitätsbasierte Verfahren. Deshalb nur halbe Punkte.	1	Boxplots. EDA. Verteilung. Zentrale Tendenz.	0
139	139	Was ist der Zweck von Boxplots in der EDA?	Boxplots in der EDA bieten eine visuelle Zusammenfassung der Verteilung, des zentralen Tendenz und der Streuung eines Datensatzes. Sie zeigen die Median, Quartile und mögliche Ausreißer der Datenverteilung.	4	"Boxplots; EDA; Verteilung; zentrale Tendenz; Streuung; Median; Quartile; Ausreißer"	Hauptfrage	What is the purpose of box plots in EDA?	Box plots in EDA provide a visual summary of the distribution, central tendency, and spread of a dataset. They show the median, quartiles, and potential outliers of the data distribution.	9.682.613	9.455.521	187	206	11.016.042.780.748.600	40	42	01.05	187	-11.344.860.177.457.000	FALSE	Boxplots werden in der EDA verwendet, um die Mittelwerte von zwei Variablen zu multiplizieren und Vorhersagen zu treffen.	0	"1) Die Antwort ist fachlich falsch; Boxplots visualisieren keine Berechnungen wie Mittelwert-Multiplikation oder Vorhersagen. 
2) Relevante Schlüsselbegriffe wie Median, Quartile, Ausreißer, Verteilung werden nicht korrekt verwendet.
3) Zentrale Aspekte der Fragestellung (Verteilung, zentrale Tendenz, Streuung, Ausreißer) werden nicht beantwortet.
4) Die Antwort vermischt die Konzepte von deskriptiver Visualisierung und Rechenoperationen, die Boxplots nicht betreffen. 
5) Die Antwort ist zwar verständlich formuliert, aber inhaltlich komplett falsch, daher für den Prüfer nicht nachvollziehbar."	Die Antwort ist fachlich falsch: Boxplots dienen nicht zur Berechnung von Mittelwerten oder zur Vorhersage, sondern visualisieren Verteilung, zentrale Tendenz, Streuung und Ausreißer. Relevante Begriffe werden nicht korrekt verwendet, daher 0 Punkte.	3	Boxplot werden in der Idea verwendet, um die Mittelwerte von 2 Variablen zu multiplizieren und vorhersagen zu treffen.	2
140	140	Was ist der Zweck von Histogrammen in der EDA?	Histogramme in der EDA zeigen die Häufigkeitsverteilung einer stetigen Variable, indem sie die Daten in Intervalle (Bins) unterteilen und die Anzahl der Beobachtungen in jedem Intervall darstellen. Sie liefern Einblicke in die Form und Streuung der Datenaufteilung.	6	"Histogramme; EDA; Häufigkeitsverteilung; stetige Variable; Intervalle (Bins); Anzahl der Beobachtungen; Form; Streuung"	Hauptfrage	What is the purpose of histograms in EDA?	Histograms in EDA display the frequency distribution of a continuous variable by dividing the data into intervals (bins) and plotting the number of observations in each interval. They provide insights into the shape and spread of the data distribution.	91.498.107	8.960.308	252	265	10.515.873.015.873.000	41	46	11.219.512.195.121.900	252	9.860.485.948.630.900	FALSE	Histogramme werden in der EDA verwendet, um die Mittelwerte aller Variablen zu addieren und Vorhersagen zu treffen.	0	"1) Die Antwort ist fachlich falsch; Histogramme visualisieren keine Berechnungen wie Mittelwert-Summen oder Vorhersagen.
2) Relevante Schlüsselbegriffe wie Häufigkeitsverteilung, Bins, Form, Streuung werden nicht korrekt verwendet.
3) Zentrale Aspekte der Fragestellung (Verteilung einer stetigen Variablen, Unterteilung in Intervalle, Häufigkeit der Beobachtungen) werden nicht beantwortet.
4) Die Antwort vermischt die Konzepte von deskriptiver Visualisierung und Rechenoperationen, die Histogramme nicht betreffen.
5) Die Antwort ist verständlich formuliert, aber inhaltlich komplett falsch, daher für den Prüfer nicht nachvollziehbar."	Die Antwort ist fachlich falsch: Histogramme dienen nicht zur Berechnung von Mittelwerten oder zur Vorhersage. Relevante Begriffe wie Häufigkeitsverteilung, Bins, Form und Streuung werden nicht korrekt verwendet, und zentrale Aspekte der Fragestellung werden nicht behandelt. Daher 0 Punkte.	3	Histogramme werden in der Idea verwendet, um die Mittelwerte aller Variablen zu addieren und vorhersagen zu treffen.	2
144	144	Was ist der Zweck von Heatmaps in der EDA?	Heatmaps in der EDA visualisieren die Magnitude einer Variablen oder die Stärke einer Beziehung zwischen Variablen mithilfe von Farben. Sie sind nützlich, um Muster und Korrelationen in großen Datensätzen zu identifizieren.	4	"Heatmaps; EDA; Magnitude; Stärke einer Beziehung; Farben; Muster; Korrelationen; große Datensätze"	Hauptfrage	What is the purpose of heatmaps in EDA?	Heatmaps in EDA visualize the magnitude of a variable or the strength of a relationship between variables using colors. They are useful for identifying patterns and correlations in large datasets.	8.973.389	9.812.348	196	223	11.377.551.020.408.100	39	42	10.769.230.769.230.700	196	-11.344.860.177.457.000	FALSE	Heatmaps werden in der EDA verwendet, um die Mittelwerte aller Variablen zu addieren und zukünftige Werte vorherzusagen.	0	"1) Die Antwort ist fachlich falsch; Heatmaps dienen nicht zur Berechnung von Mittelwerten oder zur Vorhersage.
2) Relevante Schlüsselbegriffe wie Magnitude, Beziehung zwischen Variablen, Farben, Muster, Korrelationen werden nicht korrekt verwendet. 
3) Zentrale Aspekte der Fragestellung (Visualisierung der Stärke von Variablen oder Zusammenhängen, Identifikation von Mustern/Korrelationen) werden nicht beantwortet.
4) Die Antwort vermischt die Konzepte von deskriptiver Visualisierung und Rechenoperationen, die Heatmaps nicht betreffen.
5) Die Antwort ist verständlich formuliert, aber inhaltlich komplett falsch, daher für den Prüfer nicht nachvollziehbar."	Die Antwort ist fachlich falsch: Heatmaps dienen nicht zur Berechnung von Mittelwerten oder zur Vorhersage. Relevante Begriffe wie Magnitude, Beziehungen zwischen Variablen, Farben, Muster und Korrelationen werden nicht korrekt verwendet, und zentrale Aspekte der Fragestellung werden nicht behandelt. Daher 0 Punkte.	3	Heatmaps werden in der Idea verwendet, um die Mittelwerte aller Variablen zu addieren und zukünftige Werte vorherzusagen.	2
146	146	Was ist der Unterschied zwischen Korrelation und Kausalität bei EDA?	Korrelation misst die Stärke und Richtung der linearen Beziehung zwischen zwei Variablen, während Kausalität anzeigt, dass Veränderungen in einer Variable direkt Veränderungen in einer anderen verursachen. Korrelation impliziert nicht Kausalität.	4	"Korrelation; Kausalität; lineare Beziehung; EDA"	Hauptfrage	What is the difference between correlation and causation in EDA?	Correlation measures the strength and direction of the linear relationship between two variables, while causation indicates that changes in one variable directly cause changes in another variable. Correlation does not imply causation.	88.944.066	9.270.675	234	246	10.512.820.512.820.500	64	68	1.0625	234	-11.344.860.177.457.000	FALSE	Korrelation zeigt, welche Variable wichtiger ist, und Kausalität sagt, dass die Variablen dieselbe Einheit haben.	0	"1) Die Antwort ist fachlich falsch; Korrelation zeigt nicht, welche Variable „wichtiger“ ist, und Kausalität wird nicht korrekt beschrieben.
2) Relevante Schlüsselbegriffe wie Stärke, Richtung, lineare Beziehung, Ursache, Wirkung werden nicht korrekt verwendet.
3) Zentrale Aspekte der Fragestellung (Unterschied zwischen Korrelation und Kausalität, Korrelation impliziert nicht Kausalität) werden nicht behandelt.
4) Die Antwort vermischt Konzepte auf falsche Weise und zeigt kein korrektes Verständnis der Unterschiede zwischen Korrelation und Kausalität.
5) Die Antwort ist verständlich formuliert, aber inhaltlich komplett falsch, daher für den Prüfer nicht nachvollziehbar."	Die Antwort ist fachlich falsch: Korrelation zeigt nicht, welche Variable ‚wichtiger‘ ist, und Kausalität wird nicht korrekt beschrieben. Relevante Begriffe wie Stärke, Richtung, lineare Beziehung, Ursache und Wirkung werden nicht korrekt verwendet, und zentrale Aspekte der Fragestellung werden nicht behandelt. Daher 0 Punkte.	3	Korrelation zeigt, welche Variable wichtiger ist und Kausalität sagt, dass die Variablen dieselbe Einheit haben.	0
147	147	Was ist der Zweck statistischer Tests in der EDA?	Statistische Tests in der EDA werden verwendet, um die Signifikanz beobachteter Unterschiede oder Beziehungen im Datensatz zu bewerten. Sie helfen dabei, Rückschlüsse auf Populationsparameter zu ziehen und Schlussfolgerungen aus Stichprobendaten zu ziehen.	4	"Statistische Tests; EDA; Signifikanz; Populationsparameter; Schlussfolgerungen; Stichprobendaten"	Hauptfrage	What is the purpose of statistical tests in EDA?	Statistical tests in EDA are used to assess the significance of observed differences or relationships in the data. They help to make inferences about population parameters and draw conclusions from sample data.	98.606.294	9.633.477	210	256	12.190.476.190.476.100	48	49	10.208.333.333.333.300	210	-11.344.860.177.457.000	FALSE	Statistische Tests in der EDA werden verwendet, um die Daten zu sortieren und Mittelwerte von allen Variablen zu addieren.	0	"1) Die Antwort ist fachlich falsch; statistische Tests dienen nicht dazu, Daten zu sortieren oder Mittelwerte zu addieren.
2) Relevante Schlüsselbegriffe wie Signifikanz, Rückschluss auf Population, Stichprobendaten werden nicht korrekt verwendet.
3) Zentrale Aspekte der Fragestellung (Bewertung der Signifikanz von Unterschieden oder Beziehungen, Schlussfolgerungen aus Stichprobendaten) werden nicht behandelt.
4) Die Antwort vermischt Konzepte der Datenmanipulation und deskriptiver Statistik, die statistische Tests nicht betreffen.
5) Die Antwort ist verständlich formuliert, aber inhaltlich komplett falsch, daher für den Prüfer nicht nachvollziehbar."	Die Antwort ist fachlich falsch: Statistische Tests dienen nicht dazu, Daten zu sortieren oder Mittelwerte zu addieren. Relevante Begriffe wie Signifikanz, Rückschluss auf Population und Stichprobendaten werden nicht korrekt verwendet, und zentrale Aspekte der Fragestellung werden nicht behandelt. Daher 0 Punkte.	3	Statistische Tests in der idea werden verwendet, um die Daten zu sortieren und Mittelwerte von allen Variablen zu addieren.	2
150	150	Was ist der Unterschied zwischen dem einseitigen ANOVA und dem zweiseitigen ANOVA in der EDA?	Das einseitige ANOVA vergleicht die Mittelwerte von zwei oder mehr Gruppen basierend auf einem einzigen kategorialen Faktor, während das zweiseitige ANOVA die Effekte von zwei kategorialen Faktoren (Haupteffekte und Interaktion) auf die Ausgangsvariable betrachtet.	6	"einseitiges ANOVA; zweiseitiges ANOVA; kategorialer Faktor; Haupteffekte; Interaktion"	Hauptfrage	What is the difference between one-way ANOVA and two-way ANOVA in EDA?	One-way ANOVA compares the means of two or more groups based on a single categorical factor, while two-way ANOVA considers the effects of two categorical factors (main effects and interaction) on the outcome variable.	9.521.663	9.353.745	217	265	12.211.981.566.820.200	70	93	13.285.714.285.714.200	217	9.860.485.948.630.900	FALSE	Einseitiges ANOVA zeigt, welche Gruppe größer ist, und zweiseitiges ANOVA sagt, dass die Gruppen dieselbe Mittelwert-Einheit haben.	0	"1) Die Antwort ist fachlich falsch; einseitiges und zweiseitiges ANOVA werden nicht korrekt beschrieben.
2) Relevante Schlüsselbegriffe wie Mittelwertvergleich, kategoriale Faktoren, Haupteffekte, Interaktion werden nicht korrekt verwendet.
3) Zentrale Aspekte der Fragestellung (Unterschied zwischen einseitigem und zweiseitigem ANOVA, Betrachtung von Haupteffekten und Interaktion) werden nicht beantwortet. 
4) Die Antwort vermischt die Konzepte auf falsche Weise und zeigt kein korrektes Verständnis der Unterschiede zwischen einseitigem und zweiseitigem ANOVA.
5) Die Antwort ist verständlich formuliert, aber inhaltlich komplett falsch, daher für den Prüfer nicht nachvollziehbar."	Die Antwort ist fachlich falsch: Der Unterschied zwischen einseitigem und zweiseitigem ANOVA wird nicht korrekt beschrieben. Relevante Begriffe wie Mittelwertvergleich, kategoriale Faktoren, Haupteffekte und Interaktion werden nicht korrekt verwendet, und zentrale Aspekte der Fragestellung werden nicht behandelt. Daher 0 Punkte.	3	Einseitiges ANOVA. Zeigt, welche Gruppe grösser ist und Zweiseitiges ANOVA sagt, dass die Gruppen dieselbe Mittelwert Einheit haben.	0
