,id,question_de,answer_de,max_points,keywords,question_type,question_en,answer_en,translation_similarity_question,translation_similarity_answer,len_answer_en,len_answer_de,len_answer_ratio,len_question_en,len_question_de,len_question_ratio,answer_length,points_z,to_review
172,172,Welche gängigen Ensemble-Methoden werden in der EDA verwendet?,"Gängige Ensemble-Methoden, die in der EDA verwendet werden, umfassen Bagging (Bootstrap Aggregating), Boosting (z. B. AdaBoost, Gradient Boosting) und Stacking (Meta-Lernen). Sie kombinieren Vorhersagen aus mehreren Basismodellen, um genauere und zuverlässigere Vorhersagen zu treffen.",6,Bagging; Bootstrap Aggregating; Boosting; AdaBoost; Gradient Boosting; Stacking; Meta-Lernen,Aufzählung,What are some common ensemble methods used in EDA?,"Common ensemble methods used in EDA include bagging (Bootstrap Aggregating), boosting (e.g., AdaBoost, Gradient Boosting), and stacking (meta-learning). They combine predictions from multiple base models to make more accurate and reliable predictions.",0.94980884,0.95250225,251,285,1.1354581673306774,50,62,1.24,251,0.9860485948630909,False
174,174,Welche gängigen Metriken werden für die Modellbewertung in der EDA verwendet?,"Gängige Metriken zur Modellbewertung in der EDA sind Genauigkeit, Präzision, Recall, F1-Score, ROC-AUC-Score, Mean Squared Error (MSE) und R-quadrat (R2) Score. Sie bieten Einblicke in verschiedene Aspekte der Leistung des Modells.",4,Genauigkeit; Präzision; Recall; F1-Score; ROC-AUC-Score; Mean Squared Error (MSE); R-quadrat (R2) Score,Aufzählung,What are some common metrics used for model evaluation in EDA?,"Common metrics used for model evaluation in EDA include accuracy, precision, recall, F1 score, ROC-AUC score, mean squared error (MSE), and R-squared (R2) score. They provide insights into different aspects of model performance.",0.9445438,0.92876226,228,231,1.013157894736842,62,77,1.2419354838709677,228,-1.1344860177457075,False
176,176,Was ist der Zweck des Hyperparameter-Tunings bei der Modellbewertung im EDA?,"Das Hyperparameter-Tuning bei der Modellbewertung beinhaltet die Optimierung der Hyperparameter von Machine-Learning-Algorithmen, um die Leistung und Generalisierbarkeit eines Modells zu verbessern. Es hilft dabei, die beste Kombination von Hyperparametern für ein gegebenes Datenset und Problem zu finden.",5,Hyperparameter-Tuning; Optimierung; Hyperparameter; Leistung; Generalisierbarkeit,Hauptfrage,What is the purpose of hyperparameter tuning in model evaluation in EDA?,Hyperparameter tuning in model evaluation involves optimizing the hyperparameters of machine learning algorithms to improve model performance and generalization. It helps to find the best combination of hyperparameters for a given dataset and problem.,0.94347703,0.943089,251,306,1.2191235059760956,72,76,1.0555555555555556,251,-0.07421871144130825,False
180,180,Was ist der Zweck des Modell-Deployments im EDA?,"Das Modell-Deployment im EDA beinhaltet das Bereitstellen von prädiktiven Modellen in Produktionsumgebungen, um Echtzeitvorhersagen auf neue Daten zu treffen. Es ermöglicht Organisationen, die aus der Datenanalyse gewonnenen Erkenntnisse und Vorhersagen für Entscheidungsfindung und geschäftliche Anwendungen zu nutzen.",4,Modell-Deployment; EDA; Produktionsumgebungen; Echtzeitvorhersagen; Entscheidungsfindung,Hauptfrage,What is the purpose of model deployment in EDA?,Model deployment in EDA involves deploying predictive models into production environments to make real-time predictions on new data. It allows organizations to leverage the insights and predictions generated from data analysis for decision-making and business applications.,0.9865585,0.93847144,273,319,1.1684981684981686,47,48,1.0212765957446808,273,-1.1344860177457075,False
183,183,Welche Arten der Regularisierung werden häufig in maschinellem Lernen verwendet?,"Häufig verwendete Arten der Regularisierung im maschinellen Lernen sind die L1-Regularisierung (Lasso), die L2-Regularisierung (Ridge) und die Elastic-Net-Regularisierung, welche eine Kombination aus L1- und L2-Strafen darstellt.",5,Regularisierung; L1-Regularisierung; L2-Regularisierung; Elastic Net Regularisierung,Aufzählung,What are the common types of regularization used in machine learning?,"Common types of regularization used in machine learning include L1 regularization (Lasso), L2 regularization (Ridge), and elastic net regularization (combination of L1 and L2 penalties).",0.79291606,0.9328262,186,229,1.2311827956989247,69,80,1.1594202898550725,186,-0.07421871144130825,False
184,184,Was ist der Bias-Variance-Kompromiss im maschinellen Lernen?,Der Bias-Variance-Kompromiss bezieht sich auf das Gleichgewicht zwischen Bias (Fehler durch zu vereinfachende Annahmen) und Varianz (Fehler durch Empfindlichkeit gegenüber Schwankungen in den Trainingsdaten) bei maschinellen Lernmodellen. Die Reduzierung des Bias erhöht typischerweise die Varianz und umgekehrt.,6,Bias-Variance-Kompromiss; Bias; Varianz; Fehler; Gleichgewicht,Hauptfrage,What is the bias-variance trade-off in machine learning?,"The bias-variance trade-off refers to the balance between bias (error due to overly simplistic assumptions) and variance (error due to sensitivity to fluctuations in the training data) in machine learning models. Reducing bias typically increases variance, and vice versa.",0.90422356,0.8142456,272,312,1.1470588235294117,56,60,1.0714285714285714,272,0.9860485948630909,False
186,186,Was ist der Zweck von Kreuzvalidierung in der Modellbewertung?,"Kreuzvalidierung bei der Modellbewertung wird verwendet, um die Leistung vorhersagender Modelle zu beurteilen, indem das Datenmaterial in mehrere Teilmengen (Folds) für Training und Test aufgeteilt wird. Sie hilft dabei, den Generalisierungsfehler des Modells abzuschätzen und Überanpassung zu erkennen.",6,Kreuzvalidierung; Leistungsbewertung; Partitionierung; Teilmengen; Training; Test; Generalisierungsfehler; Überanpassung,Hauptfrage,What is the purpose of cross-validation in model evaluation?,Cross-validation in model evaluation is used to assess the performance of predictive models by partitioning the data into multiple subsets (folds) for training and testing. It helps to estimate the model's generalization error and detect overfitting.,0.89756113,0.91040874,250,303,1.212,60,62,1.0333333333333334,250,0.9860485948630909,False
189,189,Was ist der Zweck des Hyperparameter-Tunings in Machine Learning?,"Das Hyperparameter-Tuning in Machine Learning beinhaltet die Optimierung der Hyperparameter von Modellen, um deren Leistung und Generalisierbarkeit zu verbessern. Es hilft dabei, die beste Kombination von Hyperparametern für ein gegebenes Datenset und Problem zu finden.",4,Hyperparameter-Tuning; Optimierung; Hyperparameter; Leistung; Generalisierbarkeit,Hauptfrage,What is the purpose of hyperparameter tuning in machine learning?,Hyperparameter tuning in machine learning involves optimizing the hyperparameters of models to improve their performance and generalization. It helps to find the best combination of hyperparameters for a given dataset and problem.,0.96175987,0.95868826,230,270,1.173913043478261,65,65,1.0,230,-1.1344860177457075,False
191,191,Was ist der Unterschied zwischen überwachtem und unüberwachtem Lernen im maschinellen Lernen?,"Beim überwachten Lernen wird aus gelabelten Daten mit Eingabe-Ausgabe-Paaren gelernt, wobei das Modell die Ausgangsvariable auf der Grundlage von Eingabemerkmale vorhersagt. Beim unüberwachten Lernen wird aus nicht gelabelten Daten gelernt, um verborgene Muster oder Strukturen in den Daten zu entdecken.",6,überwachtes Lernen; unüberwachtes Lernen; gelabelte Daten; Eingabe-Ausgabe-Paare; nicht gelabelte Daten; verborgene Muster,Hauptfrage,What is the difference between supervised and unsupervised learning in machine learning?,"Supervised learning involves learning from labeled data with input-output pairs, where the model predicts the output variable based on input features. Unsupervised learning involves learning from unlabeled data to discover hidden patterns or structures in the data.",0.8550689,0.8218007,265,304,1.1471698113207547,88,93,1.0568181818181819,265,0.9860485948630909,False
195,195,Was ist der Zweck des Modell-Deployments im Maschinenlernen?,"Das Model Deployment im Maschinenlernen umfasst das Bereitstellen von Vorhersagemodellen in Produktionsumgebungen, um Echtzeitvorhersagen auf neuen Daten zu treffen. Es ermöglicht Organisationen, die aus der Datenauswertung gewonnenen Erkenntnisse und Vorhersagen für Entscheidungsfindungen und geschäftliche Anwendungen zu nutzen.",6,Modell-Deployment; Produktionsumgebungen; Echtzeitvorhersagen; Organisationen; Entscheidungsfindung,Hauptfrage,What is the purpose of model deployment in machine learning?,Model deployment in machine learning involves deploying predictive models into production environments to make real-time predictions on new data. It allows organizations to leverage the insights and predictions generated from data analysis for decision-making and business applications.,0.8328632,0.91848564,286,331,1.1573426573426573,60,60,1.0,286,0.9860485948630909,False
197,197,Was ist der Zweck des Transferlernens im maschinellen Lernen?,"Das Transferlernen im maschinellen Lernen ist eine Technik, bei der ein Modell, das für eine Aufgabe trainiert wurde, als Ausgangspunkt für ein Modell einer verwandten Aufgabe wiederverwendet wird. Es ermöglicht die Übertragung von Wissen und Merkmalen, die in einem Bereich gelernt wurden, auf einen anderen, was den Bedarf an großen gelabelten Datensätzen reduziert.",4,Transferlernen; verwandte Aufgabe; Übertragung von Wissen; Merkmale; reduzierter Bedarf,Hauptfrage,What is the purpose of transfer learning in machine learning?,"Transfer learning in machine learning is a technique where a model trained on one task is reused as the starting point for a model on a related task. It enables the transfer of knowledge and features learned from one domain to another, reducing the need for large labeled datasets.",0.935706,0.9371247,281,368,1.309608540925267,61,61,1.0,281,-1.1344860177457075,False
