,id,question_de,answer_de,max_points,keywords,question_type,question_en,answer_en,translation_similarity_question,translation_similarity_answer,len_answer_en,len_answer_de,len_answer_ratio,len_question_en,len_question_de,len_question_ratio,answer_length,points_z,to_review
126,126,Was ist der Zweck von statistischen Zusammenfassungen im EDA?,"Statistische Zusammenfassungen im EDA bieten deskriptive Statistiken wie Mittelwert, Median, Modus, Varianz und Perzentile zur Beschreibung des zentralen Tendenzmaßes, der Streuung und der Form der Datenverteilung.",5,deskriptive Statistiken; Mittelwert; Median; Modus; Varianz; Perzentile; Zentrale Tendenz; Streuung; Datenverteilung,Hauptfrage,What is the purpose of statistical summaries in EDA?,"Statistical summaries in EDA provide descriptive statistics such as mean, median, mode, variance, and percentiles to summarize the central tendency, dispersion, and shape of the data distribution.",0.9060095,0.90894157,196,214,1.0918367346938775,52,61,1.1730769230769231,196,-0.07421871144130825,False
127,127,Was ist der Unterschied zwischen Maßen für die zentrale Tendenz und Streuungsmaßen in der EDA?,"Maße der zentralen Tendenz (z. B. Mittelwert, Median, Modus) beschreiben den mittleren oder typischen Wert eines Datensatzes, während Streuungsmaße (z. B. Varianz, Standardabweichung) die Streuung oder Variabilität der Daten um diesen zentralen Wert quantifizieren.",4,zentrale Tendenz; Mittelwert; Median; Modus; Streuungsmaße; Varianz; Standardabweichung,Hauptfrage,What is the difference between central tendency and dispersion measures in EDA?,"Central tendency measures (e.g., mean, median, mode) describe the central or typical value of a dataset, while dispersion measures (e.g., variance, standard deviation) quantify the spread or variability of the data around the central value.",0.76974905,0.8360846,240,265,1.1041666666666667,79,94,1.1898734177215189,240,-1.1344860177457075,False
130,130,Was ist der Zweck einer Korrelationsanalyse in der EDA?,"Korrelationsanalysen in der EDA messen die Stärke und Richtung der linearen Beziehung zwischen zwei stetigen Variablen. Sie helfen dabei, Muster und Assoziationen im Datenmaterial zu identifizieren.",5,Korrelationsanalyse; EDA; Stärke; Richtung; lineare Beziehung; stetige Variablen; Muster; Assoziationen,Hauptfrage,What is the purpose of correlation analysis in EDA?,Correlation analysis in EDA measures the strength and direction of the linear relationship between two continuous variables. It helps to identify patterns and associations in the data.,0.9489327,0.94668704,184,198,1.076086956521739,51,55,1.0784313725490196,184,-0.07421871144130825,False
134,134,Was ist der Unterschied zwischen einfacher linearer Regression und mehrfacher linearer Regression?,"Einfache lineare Regression modelliert die Beziehung zwischen einer unabhängigen Variablen und einer abhängigen Variablen, während multiple lineare Regression die Beziehung zwischen mehreren unabhängigen Variablen und einer abhängigen Variablen modelliert.",4,einfache lineare Regression; multiple lineare Regression; unabhängige Variable(n); abhängige Variable,Hauptfrage,What is the difference between simple linear regression and multiple linear regression?,"Simple linear regression models the relationship between one independent variable and a dependent variable, while multiple linear regression models the relationship between multiple independent variables and a dependent variable.",0.9622271,0.94477403,229,256,1.1179039301310043,87,98,1.1264367816091954,229,-1.1344860177457075,False
135,135,Was ist der Zweck von logistischer Regression in der EDA?,"Logistische Regression in der EDA wird verwendet, um die Beziehung zwischen einer oder mehreren unabhängigen Variablen (Prädiktoren) und einer binären abhängigen Variable (0 oder 1) zu modellieren. Sie wird häufig für Klassifikationsaufgaben eingesetzt.",5,logistische Regression; EDA; unabhängige Variablen; binäre abhängige Variable; Klassifikation,Hauptfrage,What is the purpose of logistic regression in EDA?,Logistic regression in EDA is used to model the relationship between one or more independent variables (predictors) and a binary outcome variable (0 or 1). It is commonly used for classification tasks.,0.83985925,0.92384756,201,253,1.2587064676616915,50,57,1.14,201,-0.07421871144130825,False
138,138,Welche gängigen Techniken gibt es zur Erkennung von Ausreißern im Rahmen der EDA?,"Gängige Techniken zur Erkennung von Ausreißern in der EDA umfassen grafische Methoden (z. B., Streudiagramme, Boxplots), statistische Methoden (z. B., z-Score, modifizierter z-Score) und proximitätsbasierte Methoden (z. B., nächste Nachbarn).",4,grafische Methoden; Streudiagramme; Boxplots; statistische Methoden; z-Score; modifizierter z-Score; proximitätsbasierte Methoden; nächste Nachbarn,Aufzählung,What are some common techniques for detecting outliers in EDA?,"Common techniques for detecting outliers in EDA include graphical methods (e.g., scatter plots, box plots), statistical methods (e.g., z-score, modified z-score), and proximity-based methods (e.g., nearest neighbors).",0.70872176,0.8406325,217,242,1.1152073732718895,62,81,1.3064516129032258,217,-1.1344860177457075,True
139,139,Was ist der Zweck von Boxplots in der EDA?,"Boxplots in der EDA bieten eine visuelle Zusammenfassung der Verteilung, des zentralen Tendenz und der Streuung eines Datensatzes. Sie zeigen die Median, Quartile und mögliche Ausreißer der Datenverteilung.",4,Boxplots; EDA; Verteilung; zentrale Tendenz; Streuung; Median; Quartile; Ausreißer,Hauptfrage,What is the purpose of box plots in EDA?,"Box plots in EDA provide a visual summary of the distribution, central tendency, and spread of a dataset. They show the median, quartiles, and potential outliers of the data distribution.",0.9682613,0.9455521,187,206,1.1016042780748663,40,42,1.05,187,-1.1344860177457075,False
140,140,Was ist der Zweck von Histogrammen in der EDA?,"Histogramme in der EDA zeigen die Häufigkeitsverteilung einer stetigen Variable, indem sie die Daten in Intervalle (Bins) unterteilen und die Anzahl der Beobachtungen in jedem Intervall darstellen. Sie liefern Einblicke in die Form und Streuung der Datenaufteilung.",6,Histogramme; EDA; Häufigkeitsverteilung; stetige Variable; Intervalle (Bins); Anzahl der Beobachtungen; Form; Streuung,Hauptfrage,What is the purpose of histograms in EDA?,Histograms in EDA display the frequency distribution of a continuous variable by dividing the data into intervals (bins) and plotting the number of observations in each interval. They provide insights into the shape and spread of the data distribution.,0.91498107,0.8960308,252,265,1.0515873015873016,41,46,1.1219512195121952,252,0.9860485948630909,False
144,144,Was ist der Zweck von Heatmaps in der EDA?,"Heatmaps in der EDA visualisieren die Magnitude einer Variablen oder die Stärke einer Beziehung zwischen Variablen mithilfe von Farben. Sie sind nützlich, um Muster und Korrelationen in großen Datensätzen zu identifizieren.",4,Heatmaps; EDA; Magnitude; Stärke einer Beziehung; Farben; Muster; Korrelationen; große Datensätze,Hauptfrage,What is the purpose of heatmaps in EDA?,Heatmaps in EDA visualize the magnitude of a variable or the strength of a relationship between variables using colors. They are useful for identifying patterns and correlations in large datasets.,0.8973389,0.9812348,196,223,1.1377551020408163,39,42,1.0769230769230769,196,-1.1344860177457075,False
146,146,Was ist der Unterschied zwischen Korrelation und Kausalität bei EDA?,"Korrelation misst die Stärke und Richtung der linearen Beziehung zwischen zwei Variablen, während Kausalität anzeigt, dass Veränderungen in einer Variable direkt Veränderungen in einer anderen verursachen. Korrelation impliziert nicht Kausalität.",4,Korrelation; Kausalität; lineare Beziehung; EDA,Hauptfrage,What is the difference between correlation and causation in EDA?,"Correlation measures the strength and direction of the linear relationship between two variables, while causation indicates that changes in one variable directly cause changes in another variable. Correlation does not imply causation.",0.88944066,0.9270675,234,246,1.0512820512820513,64,68,1.0625,234,-1.1344860177457075,False
147,147,Was ist der Zweck statistischer Tests in der EDA?,"Statistische Tests in der EDA werden verwendet, um die Signifikanz beobachteter Unterschiede oder Beziehungen im Datensatz zu bewerten. Sie helfen dabei, Rückschlüsse auf Populationsparameter zu ziehen und Schlussfolgerungen aus Stichprobendaten zu ziehen.",4,Statistische Tests; EDA; Signifikanz; Populationsparameter; Schlussfolgerungen; Stichprobendaten,Hauptfrage,What is the purpose of statistical tests in EDA?,Statistical tests in EDA are used to assess the significance of observed differences or relationships in the data. They help to make inferences about population parameters and draw conclusions from sample data.,0.98606294,0.9633477,210,256,1.2190476190476192,48,49,1.0208333333333333,210,-1.1344860177457075,False
150,150,Was ist der Unterschied zwischen dem einseitigen ANOVA und dem zweiseitigen ANOVA in der EDA?,"Das einseitige ANOVA vergleicht die Mittelwerte von zwei oder mehr Gruppen basierend auf einem einzigen kategorialen Faktor, während das zweiseitige ANOVA die Effekte von zwei kategorialen Faktoren (Haupteffekte und Interaktion) auf die Ausgangsvariable betrachtet.",6,einseitiges ANOVA; zweiseitiges ANOVA; kategorialer Faktor; Haupteffekte; Interaktion,Hauptfrage,What is the difference between one-way ANOVA and two-way ANOVA in EDA?,"One-way ANOVA compares the means of two or more groups based on a single categorical factor, while two-way ANOVA considers the effects of two categorical factors (main effects and interaction) on the outcome variable.",0.9521663,0.9353745,217,265,1.2211981566820276,70,93,1.3285714285714285,217,0.9860485948630909,False
