,question,answer,max_points,keywords,classification,original_question,original_answer
13,Was ist AUC-ROC?,"Die Fläche unter der ROC-Kurve (AUC-ROC) ist ein Maß, um die Leistung eines binären Klassifikationsmodells zu bewerten.",4,Fläche; ROC-Kurve; AUC-ROC; Maß; Leistung; binäres Klassifikationsmodell,Hauptfrage,What is AUC-ROC?,The area under the ROC curve (AUC-ROC) is a metric used to evaluate the performance of a binary classification model.
14,Was ist der Unterschied zwischen Klassifikation und Regression?,"Die Klassifikation ist eine überwachte Lernaufgabe, bei der das Ziel darin besteht, kategoriale Labels oder Klassen vorherzusagen, während die Regression ebenfalls eine überwachte Lernaufgabe ist, bei der das Ziel darin besteht, kontinuierliche numerische Werte vorherzusagen.",4,Klassifikation; Überwachtes Lernen; kategoriale Labels oder Klassen; Regression; kontinuierliche numerische Werte,Hauptfrage,What is the difference between classification and regression?,"Classification is a supervised learning task where the goal is to predict categorical labels or classes, while regression is a supervised learning task where the goal is to predict continuous numerical values."
15,Was ist Clustering?,"Clustering ist eine Technik des unüberwachten Lernens, die darin besteht, ähnliche Datenpunkte aufgrund ihrer Merkmale oder Eigenschaften zusammenzufassen.",4,unüberwachtes Lernen; Gruppierung; Datenpunkte; Merkmale; Eigenschaften,Hauptfrage,What is clustering?,Clustering is an unsupervised learning technique that involves grouping similar data points together based on their features or characteristics.
16,Was ist der Fluch der Dimensionalität?,"Der Fluch der Dimensionalität bezieht sich auf das Phänomen, bei dem die Leistung bestimmter Algorithmen abnimmt, wenn die Anzahl der Merkmale oder Dimensionen in den Daten zunimmt.",4,Fluch der Dimensionalität; Algorithmenleistung; Anzahl der Merkmale; Dimensionen,Hauptfrage,What is the curse of dimensionality?,The curse of dimensionality refers to the phenomenon where the performance of certain algorithms deteriorates as the number of features or dimensions in the data increases.
17,Was ist der Unterschied zwischen Präzision und Recall?,"Präzision misst den Anteil der wahren positiven Vorhersagen unter allen positiven Vorhersagen, die ein Klassifizierer trifft, während Recall den Anteil der wahren positiven Vorhersagen unter allen tatsächlich positiven Instanzen im Datensatz misst.",4,Präzision; Recall; wahre positive Vorhersagen; positive Vorhersagen; tatsächliche positive Instanzen,Hauptfrage,What is the difference between precision and recall?,"Precision measures the proportion of true positive predictions among all positive predictions made by a classifier, while recall measures the proportion of true positive predictions among all actual positive instances in the data."
18,Was ist der F1-Score?,Der F1-Score ist die harmonische Mittelwert von Präzision und Rückruf und bietet ein einzelnes Metrik zur Bewertung der Leistung eines Klassifikators.,4,F1-Score; harmonisches Mittel; Präzision; Rückruf,Hauptfrage,What is the F1 score?,The F1 score is the harmonic mean of precision and recall and provides a single metric to evaluate the performance of a classifier.
19,Was ist der Bias eines Schätzers?,Der Bias eines Schätzers misst den Unterschied zwischen dem erwarteten Wert des Schätzers und dem wahren Wert des geschätzten Parameters.,4,Bias; Schätzer; erwarteter Wert; wahrer Wert; Parameter,Hauptfrage,What is the bias of an estimator?,The bias of an estimator measures the difference between the expected value of the estimator and the true value of the parameter being estimated.
20,Was ist die Varianz eines Schätzers?,Die Varianz eines Schätzers misst die Streuung oder Variabilität der Werte des Schätzers um seinen erwarteten Wert.,4,Varianz; Schätzer; Streuung; Variabilität; erwarteter Wert,Hauptfrage,What is the variance of an estimator?,The variance of an estimator measures the spread or variability of the estimator's values around its expected value.
21,Was ist die Zentraler Grenzwertsatz?,"Der Zentrale Grenzwertsatz besagt, dass sich die Stichprobenverteilung des Stichprobenmittelwerts einer Normalverteilung annähert, wenn die Stichprobengröße zunimmt.",4,Zentraler Grenzwertsatz; Stichprobenverteilung; Stichprobenmittelwert; Normalverteilung; Stichprobengröße,Hauptfrage,What is the Central Limit Theorem?,The Central Limit Theorem states that the sampling distribution of the sample mean approaches a normal distribution as the sample size increases.
22,Was ist Regularisierung in neuronalen Netzwerken?,"Regularisierung in neuronalen Netzwerken beinhaltet das Hinzufügen von Straftermen zur Verlustfunktion, um Overfitting zu verhindern.",6,Regularisierung; neuronale Netzwerke; Verlustfunktion; Overfitting,Hauptfrage,What is regularization in neural networks?,Regularization in neural networks involves adding penalty terms to the loss function to prevent overfitting.
23,Was ist Batch-Normalisierung?,"Batch-Normalisierung ist eine Technik, die in neuronalen Netzen verwendet wird, um die Stabilität und Geschwindigkeit des Trainings zu verbessern, indem sie die Aktivierungen jeder Schicht normalisiert.",5,Batch-Normalisierung; neuronale Netze; Training; Stabilität; Geschwindigkeit; Normalisierung; Aktivierungen,Hauptfrage,What is batch normalization?,Batch normalization is a technique used in neural networks to improve training stability and speed by normalizing the activations of each layer.
24,Was ist Transfer Learning?,"Transfer learning ist eine Technik des maschinellen Lernens, bei der ein auf einer Aufgabe trainiertes Modell als Ausgangspunkt für ein Modell für eine verwandte Aufgabe wiederverwendet wird.",4,Transfer Learning; Maschinelles Lernen; Modell; verwandte Aufgabe,Hauptfrage,What is transfer learning?,Transfer learning is a machine learning technique where a model trained on one task is reused as the starting point for a model on a related task.
25,Was ist Natural Language Processing (NLP)?,"Natural Language Processing (NLP) ist ein Bereich der künstlichen Intelligenz, der sich auf die Interaktion zwischen Computern und menschlichen Sprachen konzentriert.",4,Natural Language Processing; künstliche Intelligenz; Interaktion; Computer; menschliche Sprachen,Hauptfrage,What is natural language processing (NLP)?,Natural language processing (NLP) is a field of artificial intelligence that focuses on the interaction between computers and human languages.
26,Was ist Word Embedding?,"Word Embedding ist eine Technik, um Wörter als dichte Vektoren in einem kontinuierlichen Vektorraum darzustellen.",4,Technik; dichte Vektoren; kontinuierlicher Vektorraum,Hauptfrage,What is word embedding?,Word embedding is a technique used to represent words as dense vectors in a continuous vector space.
27,Was ist Sentimentanalyse?,"Sentimentanalyse ist eine natürliche Sprachverarbeitungsaufgabe, die das Bestimmen der in einem Texttext ausgedrückten Stimmung oder Meinung beinhaltet.",4,Sentimentanalyse; natürliche Sprachverarbeitung; Stimmung; Meinung; Text,Hauptfrage,What is sentiment analysis?,Sentiment analysis is a natural language processing task that involves determining the sentiment or opinion expressed in a piece of text.
28,Was ist Deep Learning?,"Deep Learning ist ein Untergebiet des Machine Learnings, das sich auf künstliche neuronale Netze mit mehreren Schichten konzentriert.",5,Untergebiet; Machine Learning; künstliche neuronale Netze; mehrere Schichten,Hauptfrage,What is deep learning?,Deep learning is a subset of machine learning that focuses on artificial neural networks with multiple layers.
29,Was ist ein convolutional neural network (CNN)?,"Ein convolutional neural network (CNN) ist eine Art von tiefem neuronalem Netzwerk, das besonders gut für die Verarbeitung strukturierter Gitterdaten wie Bilder geeignet ist.",4,convolutional neural network; tiefe neuronale Netze; strukturierte Gitterdaten; Bilder,Hauptfrage,What is a convolutional neural network (CNN)?,"A convolutional neural network (CNN) is a type of deep neural network that is particularly well-suited for processing structured grid-like data, such as images."
30,Was ist ein rekurrentes neuronales Netzwerk (RNN)?,"Ein rekurrentes neuronales Netzwerk (RNN) ist eine Art von neuronalen Netzwerk, das entwickelt wurde, um sequentielle Daten zu verarbeiten, indem es den Zustand oder die Erinnerung an vorherige Eingaben beibehält.",4,rekurrentes neuronales Netzwerk; sequentielle Daten; Zustand oder Erinnerung; vorherige Eingaben,Hauptfrage,What is a recurrent neural network (RNN)?,A recurrent neural network (RNN) is a type of neural network designed to process sequential data by maintaining a state or memory of previous inputs.
31,Was ist Verstärkerlernen?,"Verstärkerlernen ist ein maschinelles Lernparadigma, bei dem ein Agent lernt, Entscheidungen zu treffen, indem er mit einer Umgebung interagiert, um die kumulierten Belohnungen zu maximieren.",4,Verstärkerlernen; maschinelles Lernparadigma; Agent; Umgebung; Belohnungen,Hauptfrage,What is reinforcement learning?,Reinforcement learning is a machine learning paradigm where an agent learns to make decisions by interacting with an environment to maximize cumulative rewards.
32,Was ist Q-Learning?,"Q-Learning ist ein modellfreies Verstärkungslernverfahren, das dazu verwendet wird, die optimale Aktionsauswahl-Politik für einen Markov-Entscheidungsprozess (MDP) zu erlernen.",4,Q-Learning; modellfreies Verstärkungslernen; optimaler Aktions-Auswahlpolitik; Markov-Entscheidungsprozess; MDP,Hauptfrage,What is Q-learning?,Q-learning is a model-free reinforcement learning algorithm used to learn the optimal action-selection policy for a Markov decision process (MDP).
33,Was ist das Exploration-Exploitation-Dilemma in der verstärkenden KI?,"Das Exploration-Exploitation-Dilemma bezieht sich auf die Zwickmühle, mit der Agenten der verstärkenden KI konfrontiert sind, wenn sie entscheiden müssen, ob sie neue Aktionen erkunden oder bekannte Aktionen nutzen sollen, um die Belohnungen zu maximieren.",6,Exploration; Exploitation; Dilemma; verstärkende KI; Agenten; Aktionen; Belohnungen,Hauptfrage,What is the exploration-exploitation tradeoff in reinforcement learning?,The exploration-exploitation tradeoff refers to the dilemma faced by reinforcement learning agents when deciding whether to explore new actions or exploit known actions to maximize rewards.
34,Was ist tiefe Verstärkungslernen?,"Tiefe Verstärkungslernen kombiniert verstärkendes Lernen mit Tiefenlernverfahren, um hochdimensionale Eingaberaum zu handhaben und komplexe Richtlinien direkt aus rohen Sensordaten zu erlernen.",6,tiefes Verstärkungslernen; verstärkendes Lernen; tiefe Lernverfahren; hochdimensionale Eingaberaum; komplexe Richtlinien; rohe Sensordaten,Hauptfrage,What is deep reinforcement learning?,Deep reinforcement learning combines reinforcement learning with deep learning techniques to handle high-dimensional input spaces and learn complex policies directly from raw sensory input.
35,Was ist ein Markov-Entscheidungsprozess (MDP)?,"Ein Markov-Entscheidungsprozess (MDP) ist ein mathematisches Rahmenwerk, das zur Modellierung von sequenziellen Entscheidungsproblemen verwendet wird, bei denen ein Agent mit einer Umgebung interagiert.",4,Markov-Entscheidungsprozess; mathematisches Rahmenwerk; sequenzielle Entscheidungsprobleme; Agent; Umgebung,Hauptfrage,What is a Markov decision process (MDP)?,A Markov decision process (MDP) is a mathematical framework used to model sequential decision-making problems in which an agent interacts with an environment.
36,Was ist der Cross-Entropy-Loss?,"Cross-Entropy-Loss, auch als Logarithmic Loss bekannt, ist eine Verlustfunktion, die in Klassifikationsaufgaben verwendet wird, um den Unterschied zwischen der vorhergesagten Wahrscheinlichkeitsverteilung und der wahren Wahrscheinlichkeitsverteilung der Klassen zu quantifizieren.",4,Cross-Entropy-Loss; Logarithmic Loss; Verlustfunktion; Klassifikationsaufgaben; Wahrscheinlichkeitsverteilung,Hauptfrage,What is cross-entropy loss?,"Cross-entropy loss, also known as log loss, is a loss function used in classification tasks to quantify the difference between the predicted probability distribution and the true probability distribution of the classes."
37,Was ist die Softmax-Funktion?,"Die Softmax-Funktion ist eine mathematische Funktion, die einen Vektor von beliebigen reellen Werten in einen Vektor von Wahrscheinlichkeiten umwandelt.",5,Softmax-Funktion; mathematische Funktion; Vektor; reelle Werte; Wahrscheinlichkeiten,Hauptfrage,What is the softmax function?,The softmax function is a mathematical function that converts a vector of arbitrary real values into a vector of probabilities.
38,Was ist der Unterschied zwischen einem generativen Modell und einem diskriminativen Modell?,"Ein generatives Modell lernt die gemeinsame Wahrscheinlichkeitsverteilung von den Eingangsmerkmalen und den Zielvariablen, während ein diskriminatives Modell die bedingte Wahrscheinlichkeitsverteilung der Zielvariablen gegeben den Eingangsmerkmalen lernt.",5,generatives Modell; diskriminatives Modell; gemeinsame Wahrscheinlichkeitsverteilung; bedingte Wahrscheinlichkeitsverteilung,Hauptfrage,What is the difference between a generative model and a discriminative model?,"A generative model learns the joint probability distribution of the input features and the target labels, while a discriminative model learns the conditional probability distribution of the target labels given the input features."
39,Was ist ein Autoencoder?,"Ein Autoencoder ist eine Art von neuronalen Netzarchitektur, die darauf trainiert wird, ihre Eingabedaten auf der Ausgabeschicht zu rekonstruieren.",4,Autoencoder; neuronale Netzarchitektur; rekonstruieren; Eingabedaten,Hauptfrage,What is autoencoder?,An autoencoder is a type of neural network architecture that is trained to reconstruct its input data at the output layer.
40,Was ist der Unterschied zwischen Bagging und Boosting?,"Bagging (Bootstrap Aggregating) ist eine Ensemble-Methode, die mehrere Modelle unabhängig voneinander aufbaut und ihre Vorhersagen durch Mittelwertbildung oder Abstimmung kombiniert. Boosting hingegen baut Modelle sequentiell auf, indem es mehr Gewicht auf falsch klassifizierte Instanzen legt.",6,Bagging; Bootstrap Aggregating; Ensemble-Methode; unabhängig; kombinieren; Mittelwertbildung; Abstimmung; Boosting; sequentiell; Gewicht; falsch klassifizierte Instanzen,Hauptfrage,What is the difference between bagging and boosting?,"Bagging (Bootstrap Aggregating) is an ensemble method that builds multiple models independently and combines their predictions through averaging or voting, while boosting sequentially builds models by giving more weight to misclassified instances."
41,Was ist Hyperparameter-Tuning?,"Hyperparameter-Tuning ist der Prozess, die optimalen Hyperparameter für ein Machine-Learning-Modell zu finden, um seine Leistung zu verbessern.",4,Hyperparameter; Tuning; Machine-Learning-Modell; Leistung,Hauptfrage,What is hyperparameter tuning?,Hyperparameter tuning is the process of finding the optimal hyperparameters for a machine learning model to improve its performance.
42,Was ist die 'Fluch der Dimensionalität' im Kontext der Merkmalsauswahl?,"Der Fluch der Dimensionalität in der Merkmalsauswahl bezieht sich auf die Herausforderungen und Einschränkungen, die durch hochdimensionale Daten entstehen, wie z.B. erhöhte Rechenkomplexität und Schwierigkeiten bei der Identifikation sinnvoller Merkmale.",6,Fluch der Dimensionalität; Merkmalsauswahl; hochdimensionale Daten; Rechenkomplexität; sinnvolle Merkmale,Hauptfrage,What is the curse of dimensionality in the context of feature selection?,"The curse of dimensionality in feature selection refers to the challenges and limitations posed by high-dimensional data, such as increased computational complexity and difficulty in finding meaningful features."
43,Was ist der Unterschied zwischen L1- und L2-Regularisierung?,"L1-Regularisierung (Lasso) fügt einen Strafterm hinzu, der proportional zum absoluten Wert der Koeffizienten ist, was die Sparsamkeit und die Merkmalsauswahl fördert. L2-Regularisierung (Ridge) hingegen fügt einen Strafterm hinzu, der proportional zum Quadrat der Koeffizienten ist und große Koeffizienten bestraft.",5,L1-Regularisierung; Lasso; absolute Werte; Sparsamkeit; Merkmalsauswahl; L2-Regularisierung; Ridge; quadratische Werte; Strafterm,Hauptfrage,What is the difference between L1 and L2 regularization?,"L1 regularization (Lasso) adds a penalty term proportional to the absolute value of the coefficients, encouraging sparsity and feature selection, while L2 regularization (Ridge) adds a penalty term proportional to the square of the coefficients, penalizing large coefficients."
44,Was ist der Zweck von Kreuzvalidierung in der Merkmalsauswahl?,"Kreuzvalidierung bei der Merkmalsauswahl dient dazu, die Leistung eines Modells mit verschiedenen Teilmengen von Merkmalen zu bewerten. Dies hilft dabei, die informativsten Merkmale zu identifizieren und das Risiko des Overfittings zu reduzieren.",6,Kreuzvalidierung; Merkmalsauswahl; Modellleistung; informative Merkmale; Overfitting,Hauptfrage,What is the purpose of cross-validation in feature selection?,"Cross-validation in feature selection is used to evaluate the performance of a model with different subsets of features, helping to identify the most informative features and reduce the risk of overfitting."
45,Welche Rolle spielt der Bias bei der Modellbewertung?,"Bias in der Modellbewertung bezieht sich auf systematische Fehler oder Ungenauigkeiten, die in den Vorhersagen eines Modells auftreten können. Diese entstehen häufig durch Vereinfachungsannahmen oder Einschränkungen in der Architektur des Modells.",4,Bias; systematische Fehler; Ungenauigkeiten; Vereinfachungsannahmen; Modellarchitektur,Hauptfrage,What is the role of bias in model evaluation?,"Bias in model evaluation refers to systematic errors or inaccuracies in the predictions made by a model, which may arise from simplifying assumptions or limitations in the model architecture."
46,Was ist die Bedeutung der Interpretierbarkeit in maschinellen Lernmodellen?,"Die Interpretierbarkeit von maschinellen Lernmodellen ist wichtig, um zu verstehen, wie Vorhersagen getroffen werden, Einblicke in die zugrunde liegenden Beziehungen im Datenmaterial zu gewinnen und Vertrauen bei Interessengruppen aufzubauen.",6,Interpretierbarkeit; Verständnis von Vorhersagen; Einsichten; Beziehungen in den Daten; Vertrauensaufbau,Hauptfrage,What is the importance of interpretability in machine learning models?,"Interpretability in machine learning models is important for understanding how predictions are made, gaining insights into the underlying relationships in the data, and building trust with stakeholders."
47,Was ist der Unterschied zwischen k-Means-Clustering und hierarchischem Clustering?,"Das k-Means-Clustering partitioniert die Daten in k Cluster, indem es die Summe der quadrierten Abweichungen innerhalb der Cluster minimiert. Das hierarchische Clustering erstellt hingegen eine baumartige Hierarchie von Clustern, indem es rekursiv Cluster basierend auf deren Nähe zusammenführt oder aufteilt.",6,k-Means-Clustering; Partitionierung; Summe der quadrierten Abweichungen; hierarchisches Clustering; baumartige Hierarchie; rekursive Mergen/Splitting,Hauptfrage,What is the difference between k-means and hierarchical clustering?,"K-means clustering partitions the data into k clusters by minimizing the within-cluster sum of squares, while hierarchical clustering builds a tree-like hierarchy of clusters by recursively merging or splitting clusters based on proximity."
48,Wofür wird die Elbow-Methode in der k-means-Clusterbildung verwendet?,"Die Elbow-Methode dient dazu, die optimale Anzahl an Clustern (k) in der k-means-Clusterbildung zu bestimmen. Hierzu wird die Summe der Quadrate innerhalb der Cluster gegen die Anzahl der Cluster aufgetragen und der Punkt identifiziert, an dem sich die Rate des Rückgangs der Inertie verlangsamt.",5,Elbow-Methode; optimale Anzahl an Clustern; k-means-Clusterbildung; innerhalb der Cluster; Inertie,Hauptfrage,What is the Elbow Method used for in k-means clustering?,"The Elbow Method is used to determine the optimal number of clusters (k) in k-means clustering by plotting the within-cluster sum of squares against the number of clusters and identifying the ""elbow"" point where the rate of decrease in inertia slows down."
49,Welche Rolle spielt die Regularisierung bei der Reduktion der Modellkomplexität?,"Regularisierung in Machine Learning reduziert die Modellkomplexität, indem sie Strafterme zur Verlustfunktion hinzufügt. Dies fördert einfachere Modelle mit kleineren Koeffizienten oder weniger Features.",6,Regularisierung; Modellkomplexität; Strafterme; Verlustfunktion; Koeffizienten; Features,Hauptfrage,What is the role of regularization in reducing model complexity?,"Regularization in machine learning reduces model complexity by adding penalty terms to the loss function, encouraging simpler models with smaller coefficients or fewer features."
50,Was ist der Unterschied zwischen Gradientenabstieg und Stochastischem Gradientenabstieg?,"Der Gradientenabstieg aktualisiert die Modellparameter anhand des durchschnittlichen Gradienten des gesamten Trainingsdatensatzes, während der stochastische Gradientenabstieg die Parameter anhand des Gradienten eines einzigen zufällig ausgewählten Datenpunktes oder Mini-Batches aktualisiert.",5,Gradientenabstieg; Stochastischer Gradientenabstieg; durchschnittlicher Gradient; Trainingsdatensatz; einzelner Datenpunkt; Mini-Batch,Hauptfrage,What is the difference between gradient descent and stochastic gradient descent?,"Gradient descent updates model parameters using the average gradient of the entire training dataset, while stochastic gradient descent updates parameters using the gradient of a single randomly selected data point or mini-batch."
51,Was ist der Trade-off zwischen Bias und Varianz bei der Modellauswahl?,"Der Bias-Variance-Trade-off bei der Modellauswahl beinhaltet das Gleichgewicht zwischen Bias (Unteranpassung) und Varianz (Überanpassung), indem Modelle mit einem angemessenen Komplexitätsgrad basierend auf dem Datensatz und der Aufgabe ausgewählt werden.",6,Bias; Varianz; Trade-off; Modellauswahl; Komplexität,Hauptfrage,What is the tradeoff between bias and variance in model selection?,The bias-variance tradeoff in model selection involves balancing the tradeoff between bias (underfitting) and variance (overfitting) by selecting models with an appropriate level of complexity based on the dataset and task.
52,Welche Rolle spielt die Regularisierung bei der Reduzierung von Overfitting?,"Regularisierung in Machine Learning reduziert Overfitting, indem sie übermäßig komplexe Modelle bestraft und einfachere Modelle fördert, die besser auf neue Daten verallgemeinern können.",6,Regularisierung; Overfitting; komplexes Modell; einfacheres Modell; Generalisierbarkeit,Hauptfrage,What is the role of regularization in reducing overfitting?,"Regularization in machine learning reduces overfitting by penalizing overly complex models, encouraging simpler models that generalize better to unseen data."
53,Welche Techniken gibt es zur Behandlung von unbalancierten Datensätzen in Klassifikationsaufgaben?,"Techniken zur Behandlung von unbalancierten Datensätzen umfassen Resampling-Methoden wie das Oversampling der Minderheit oder das Undersampling der Mehrheit, den Einsatz kostensensitiver Lernalgorithmen und die Generierung synthetischer Beispiele mit Techniken wie SMOTE.",6,Resampling; Oversampling; Undersampling; kostensensitive Algorithmen; SMOTE,Aufzählung,What are some techniques for handling imbalanced datasets in classification tasks?,"Techniques for handling imbalanced datasets include resampling methods such as oversampling the minority class or undersampling the majority class, using cost-sensitive learning algorithms, and generating synthetic samples with techniques like SMOTE."
54,Was ist der Zweck von A/B-Tests im Data Science?,"A/B-Testing wird verwendet, um zwei oder mehr Versionen eines Produkts oder einer Intervention zu vergleichen und festzustellen, welche besser abschneidet basierend auf vordefinierten Metriken wie Konversionsrate oder Nutzerengagement.",6,A/B-Testing; Produkte oder Interventionen; vordefinierte Metriken; Konversionsrate; Nutzerengagement,Hauptfrage,What is the purpose of A/B testing in data science?,"A/B testing is used to compare two or more versions of a product or intervention to determine which one performs better based on predefined metrics, such as conversion rate or user engagement."
55,Was ist der Unterschied zwischen Korrelation und Kausalität?,"Korrelation misst die Stärke und Richtung des linearen Zusammenhangs zwischen zwei Variablen, während Kausalität anzeigt, dass Änderungen in einer Variablen direkt Änderungen in einer anderen Variable verursachen.",6,Korrelation; Kausalität; Stärke und Richtung; lineare Beziehung; direkte Ursache,Hauptfrage,What is the difference between correlation and causation?,"Correlation measures the strength and direction of the linear relationship between two variables, while causation indicates that changes in one variable directly cause changes in another variable."
56,Welche Rolle spielt das Feature Scaling in der Maschinenlernen?,"Feature Scaling im maschinellen Lernen stellt sicher, dass alle Merkmale die gleiche Skala oder den gleichen Bereich haben und verhindert so, dass bestimmte Merkmale während des Modelltrainings andere dominieren. Gemeinsame Skalierungstechniken sind das Min-Max-Skalieren und die Standardisierung.",6,Feature Scaling; gleiche Skala; Modelldominanz; Min-Max-Skalierung; Standardisierung,Hauptfrage,What is the role of feature scaling in machine learning?,"Feature scaling in machine learning ensures that all features have the same scale or range, preventing certain features from dominating others during model training. Common scaling techniques include min-max scaling and standardization."
