,id,question_de,answer_de,max_points,keywords,question_type,question_en,answer_en,translation_similarity_question,translation_similarity_answer,len_answer_en,len_answer_de,len_answer_ratio,len_question_en,len_question_de,len_question_ratio,answer_length,points_z,to_review,all_keywords_present,missing_keywords
72,72,Was ist der Unterschied zwischen Shallow Learning und Deep Learning?,"Shallow Learning bezieht sich auf traditionelle maschinelle Lernalgorithmen mit einer geringen Anzahl an Schichten oder Merkmalen, während Deep Learning neuronale Netze mit mehreren Schichten umfasst, die hierarchische Repräsentationen der Daten lernen können.",5,Shallow Learning; traditionelle maschinelle Lernalgorithmen; Deep Learning; neuronale Netze; Schichten; Merkmale,Hauptfrage,What is the difference between shallow learning and deep learning?,"Shallow learning refers to traditional machine learning algorithms with a small number of layers or features, while deep learning involves neural networks with multiple layers that can learn hierarchical representations of the data.",0.96493864,0.94157743,232,260,1.1206896551724137,66,68,1.0303030303030303,232,-0.07421871144130825,False,True,
75,75,Was ist der Unterschied zwischen k-facher Kreuzvalidierung und Leave-One-Out-Kreuzvalidierung?,"Die k-fache Kreuzvalidierung teilt die Daten in k Untergruppen auf und trainiert das Modell k-mal, wobei jedes Mal eine andere Untergruppe als Validierungsset dient. Die Leave-One-Out-Kreuzvalidierung trainiert das Modell hingegen n-mal (wobei n die Anzahl der Datenpunkte ist), indem sie jeweils alle bis auf einen Datenpunkt als Trainingsset verwendet und den verbleibenden Punkt als Validierungsset.",6,k-fache Kreuzvalidierung; Leave-One-Out-Kreuzvalidierung; Untergruppen; Validierungsset; Trainingsset,Hauptfrage,What is the difference between k-fold cross-validation and leave-one-out cross-validation?,"K-fold cross-validation divides the data into k subsets and iteratively trains the model k times, each time using a different subset as the validation set, while leave-one-out cross-validation trains the model k times, each time using all but one data point as the training set and the remaining point as the validation set.",0.92018116,0.9223922,324,402,1.2407407407407407,90,94,1.0444444444444445,324,0.9860485948630909,False,True,
78,78,Was ist der Zweck einer Konfusionsmatrix in Klassifikationsaufgaben?,"Eine Konfusionsmatrix ist eine Tabelle, die die Leistung eines Klassifikationsmodells visualisiert, indem sie vorhergesagte Klasseinstanzen mit tatsächlichen vergleicht. Sie zeigt die Anzahl der wahren Positiven, wahren Negativen, falschen Positiven und falschen Negativen.",4,Konfusionsmatrix; Klassifikationsmodell; wahre Positive; wahre Negative; falsche Positive; falsche Negative,Hauptfrage,What is the purpose of a confusion matrix in classification tasks?,"A confusion matrix is a table that visualizes the performance of a classification model by comparing predicted class labels with true class labels. It shows the number of true positives, true negatives, false positives, and false negatives.",0.79721844,0.8549926,240,273,1.1375,66,68,1.0303030303030303,240,-1.1344860177457075,False,False,wahre positive;wahre negative;falsche positive;falsche negative
80,80,"Was ist der Unterschied zwischen univariater, bivariater und multivariater Analyse?",Univariate Analyse untersucht die Verteilung und deskriptive Statistik einer einzelnen Variablen. Bivariate Analyse erforscht den Zusammenhang zwischen zwei Variablen. Multivariate Analyse beinhaltet das gleichzeitige Analysieren mehrerer Variablen.,5,univariate; bivariate; multivariate; Verteilung; deskriptive Statistik; Zusammenhang,Hauptfrage,"What is the difference between univariate, bivariate, and multivariate analysis?","Univariate analysis examines the distribution and summary statistics of a single variable, bivariate analysis explores the relationship between two variables, and multivariate analysis involves analyzing multiple variables simultaneously.",0.96886325,0.9646323,238,249,1.046218487394958,80,83,1.0375,238,-0.07421871144130825,False,True,
83,83,Was ist die Varianz eines statistischen Schätzers?,"Die Varianz eines statistischen Schätzers misst die Streuung oder Variabilität der Werte des Schätzers um seinen erwarteten Wert. Eine hohe Varianz zeigt an, dass die Werte des Schätzers weit verstreut sind, während eine niedrige Varianz darauf hinweist, dass die Werte dicht beieinander liegen.",4,Varianz; statistischer Schätzer; Streuung; Variabilität; erwarteter Wert,Hauptfrage,What is the variance of a statistical estimator?,"The variance of a statistical estimator measures the spread or variability of the estimator's values around its expected value. A high variance indicates that the estimator's values are scattered widely, while a low variance indicates that the values are clustered closely together.",0.82150257,0.8181599,282,295,1.0460992907801419,48,50,1.0416666666666667,282,-1.1344860177457075,False,False,statistischer schätzer;erwarteter wert
84,84,Was ist der Unterschied zwischen parametrischen und nicht-parametrischen statistischen Tests?,"Parametrische statistische Tests gehen davon aus, dass die Daten einer spezifischen Wahrscheinlichkeitsverteilung (z. B. Normalverteilung) folgen, während nicht-parametrische Tests keine solchen Annahmen treffen und auf Rängen oder Häufigkeiten basieren.",6,parametrisch; nicht-parametrisch; Wahrscheinlichkeitsverteilung; Normalverteilung; Ränge; Häufigkeiten,Hauptfrage,What is the difference between parametric and non-parametric statistical tests?,"Parametric statistical tests assume that the data follows a specific probability distribution (e.g., normal distribution), while non-parametric tests make no such assumptions and are based on ranks or frequencies.",0.9163434,0.9315705,213,254,1.192488262910798,79,93,1.1772151898734178,213,0.9860485948630909,False,True,
86,86,Was ist der Unterschied zwischen Korrelation und Kausalität in der Statistik?,"Korrelation misst die Stärke und Richtung der linearen Beziehung zwischen zwei Variablen, während Kausalität anzeigt, dass Änderungen in einer Variablen direkt Änderungen in einer anderen Variable verursachen.",4,Korrelation; Kausalität; lineare Beziehung; direkte Ursache,Hauptfrage,What is the difference between correlation and causation in statistics?,"Correlation measures the strength and direction of the linear relationship between two variables, while causation indicates that changes in one variable directly cause changes in another variable.",0.86762774,0.9309427,196,209,1.066326530612245,71,77,1.0845070422535212,196,-1.1344860177457075,False,False,lineare beziehung;direkte ursache
91,91,Was ist der Zweck von Regularisierung im maschinellen Lernen?,"Regularisierung ist eine Technik, um Überanpassung zu verhindern, indem ein Strafterm zur Zielfunktion des Modells hinzugefügt wird, was komplexe Modelle unattraktiv macht. Häufig verwendete Regularisierungstechniken sind L1-Regularisierung (Lasso) und L2-Regularisierung (Ridge).",6,Regularisierung; Überanpassung; Strafterm; Zielfunktion; L1-Regularisierung; L2-Regularisierung; Komplexität; Modell; Lasso; Ridge,Hauptfrage,What is the purpose of regularization in machine learning?,"Regularization is a technique used to prevent overfitting by adding a penalty term to the model's objective function, discouraging overly complex models. Common regularization techniques include L1 regularization (Lasso) and L2 regularization (Ridge).",0.88608694,0.9276889,251,280,1.1155378486055776,58,61,1.0517241379310345,251,0.9860485948630909,False,False,komplexität
92,92,Was ist der Unterschied zwischen Batch Gradient Descent und Stochastic Gradient Descent?,"Batch Gradient Descent aktualisiert die Modellparameter unter Verwendung des Durchschnittsgradienten des gesamten Trainingsdatensatzes, während Stochastic Gradient Descent Parameter unter Verwendung des Gradienten eines einzigen zufällig ausgewählten Datenpunkts oder Mini-Batches aktualisiert.",4,Batch Gradient Descent; Stochastic Gradient Descent; Durchschnittsgradient; einzelner Datenpunkt; Mini-Batch,Hauptfrage,What is the difference between batch gradient descent and stochastic gradient descent?,"Batch gradient descent updates model parameters using the average gradient of the entire training dataset, while stochastic gradient descent updates parameters using the gradient of a single randomly selected data point or mini-batch.",0.8750758,0.86096835,234,294,1.2564102564102564,86,88,1.0232558139534884,234,-1.1344860177457075,False,False,einzelner datenpunkt
94,94,Was ist der Zweck der Merkmalsauswahl im maschinellen Lernen?,"Die Merkmalsauswahl beinhaltet die Auswahl der relevantesten Merkmale aus einem Datensatz, um die Modellleistung zu verbessern, Overfitting zu reduzieren und die Interpretierbarkeit zu erhöhen.",5,Merkmalsauswahl; relevante Merkmale; Modellleistung; Overfitting; Interpretierbarkeit,Hauptfrage,What is the purpose of feature selection in machine learning?,"Feature selection involves selecting the most relevant features from a dataset to improve model performance, reduce overfitting, and enhance interpretability.",0.8543837,0.9150752,158,193,1.2215189873417722,61,61,1.0,158,-0.07421871144130825,False,False,relevante merkmale
95,95,Was ist der Unterschied zwischen Regularisierung und Merkmalsauswahl im maschinellen Lernen?,"Die Regularisierung bestraft übermäßig komplexe Modelle, indem sie einen Strafterm zur Zielfunktion hinzufügt, während die Merkmalsauswahl explizit eine Teilmenge von Merkmalen auswählt, um sie im Modell basierend auf ihrer Bedeutung oder Relevanz einzuschließen.",6,Regularisierung; Merkmalsauswahl; Strafterm; Zielfunktion; Merkmale,Hauptfrage,What is the difference between regularization and feature selection in machine learning?,"Regularization penalizes overly complex models by adding a penalty term to the objective function, while feature selection explicitly selects a subset of features to include in the model based on their importance or relevance.",0.8856415,0.86661124,226,263,1.163716814159292,88,92,1.0454545454545454,226,0.9860485948630909,False,True,
99,99,"Was ist der F1-Score, und warum ist er nützlich bei unbalancierten Datensätzen?","Der F1-Score ist die harmonische Mittelwert von Präzision und Recall und bietet eine einzige Metrik zur Bewertung der Leistung eines Klassifikators. Er ist besonders nützlich für unbalancierte Datensätze, bei denen eine Klasse viel häufiger vorkommt als andere.",5,F1-Score; harmonischer Mittelwert; Präzision; Recall; unbalancierte Datensätze,Hauptfrage,"What is the F1 score, and why is it useful in imbalanced datasets?",The F1 score is the harmonic mean of precision and recall and provides a single metric to evaluate the performance of a classifier. It is particularly useful for imbalanced datasets where one class is much more prevalent than the others.,0.8566538,0.9004464,237,261,1.1012658227848102,66,79,1.196969696969697,237,-0.07421871144130825,False,False,harmonischer mittelwert
